Start Training:
Iter: 6700, Loss: 2.81615e-02, Loss0: 6.39832e-04, Loss_b: 9.76220e-04, Loss_f: 2.12287e-02, Loss_prev: 5.31681e-03
Iter: 6800, Loss: 9.71430e-02, Loss0: 2.40101e-03, Loss_b: 4.51284e-03, Loss_f: 8.11890e-02, Loss_prev: 9.04023e-03
Iter: 6900, Loss: 8.44232e-03, Loss0: 1.09621e-04, Loss_b: 1.17093e-05, Loss_f: 3.11083e-03, Loss_prev: 5.21016e-03
Iter: 7000, Loss: 8.84102e-03, Loss0: 1.15312e-04, Loss_b: 1.76962e-05, Loss_f: 3.26741e-03, Loss_prev: 5.44060e-03
Iter: 7100, Loss: 9.61926e-03, Loss0: 1.86420e-04, Loss_b: 4.57727e-04, Loss_f: 3.30367e-03, Loss_prev: 5.67144e-03
Iter: 7200, Loss: 1.31929e-02, Loss0: 1.82016e-04, Loss_b: 5.73035e-05, Loss_f: 7.63861e-03, Loss_prev: 5.31500e-03
Iter: 7300, Loss: 1.06272e-02, Loss0: 1.56006e-04, Loss_b: 1.23852e-04, Loss_f: 5.14537e-03, Loss_prev: 5.20201e-03
Iter: 7400, Loss: 1.59530e-02, Loss0: 3.37290e-04, Loss_b: 3.72399e-04, Loss_f: 1.03609e-02, Loss_prev: 4.88237e-03
Iter: 7500, Loss: 1.20794e-02, Loss0: 1.24978e-04, Loss_b: 6.42261e-05, Loss_f: 6.79027e-03, Loss_prev: 5.09989e-03
Iter: 7600, Loss: 9.04217e-03, Loss0: 1.39696e-04, Loss_b: 3.98886e-05, Loss_f: 4.02362e-03, Loss_prev: 4.83897e-03
Iter: 7700, Loss: 1.46246e-02, Loss0: 4.51380e-04, Loss_b: 1.60138e-03, Loss_f: 6.25676e-03, Loss_prev: 6.31510e-03
Iter: 7800, Loss: 8.30423e-03, Loss0: 1.17343e-04, Loss_b: 3.41843e-05, Loss_f: 3.68709e-03, Loss_prev: 4.46561e-03
Iter: 7900, Loss: 7.53578e-03, Loss0: 9.18243e-05, Loss_b: 6.24947e-06, Loss_f: 3.00831e-03, Loss_prev: 4.42939e-03
Iter: 8000, Loss: 6.36615e-02, Loss0: 1.23157e-03, Loss_b: 1.32510e-03, Loss_f: 5.58532e-02, Loss_prev: 5.25166e-03
Iter: 8100, Loss: 9.04824e-03, Loss0: 1.22367e-04, Loss_b: 3.98948e-05, Loss_f: 3.59618e-03, Loss_prev: 5.28980e-03
Iter: 8200, Loss: 7.95597e-03, Loss0: 9.81582e-05, Loss_b: 3.29494e-05, Loss_f: 3.12288e-03, Loss_prev: 4.70198e-03
Iter: 8300, Loss: 1.02099e-02, Loss0: 1.40420e-04, Loss_b: 4.39356e-05, Loss_f: 5.00015e-03, Loss_prev: 5.02542e-03
Iter: 8400, Loss: 5.82831e-02, Loss0: 1.23717e-03, Loss_b: 2.25818e-03, Loss_f: 4.66111e-02, Loss_prev: 8.17663e-03
Iter: 8500, Loss: 8.11640e-03, Loss0: 1.17977e-04, Loss_b: 2.43759e-05, Loss_f: 3.28874e-03, Loss_prev: 4.68530e-03
Iter: 8600, Loss: 9.42182e-02, Loss0: 2.37360e-03, Loss_b: 3.34345e-03, Loss_f: 8.13391e-02, Loss_prev: 7.16201e-03
Iter: 8700, Loss: 1.23947e-02, Loss0: 2.16833e-04, Loss_b: 2.30860e-04, Loss_f: 7.75983e-03, Loss_prev: 4.18721e-03
Iter: 8800, Loss: 9.36561e-03, Loss0: 1.23015e-04, Loss_b: 1.71491e-04, Loss_f: 3.83493e-03, Loss_prev: 5.23618e-03
Iter: 8900, Loss: 1.96098e-02, Loss0: 4.24258e-04, Loss_b: 4.83557e-04, Loss_f: 1.41408e-02, Loss_prev: 4.56121e-03
Iter: 9000, Loss: 7.93030e-03, Loss0: 1.10139e-04, Loss_b: 5.53549e-06, Loss_f: 3.11099e-03, Loss_prev: 4.70364e-03
Iter: 9100, Loss: 7.69545e-03, Loss0: 1.01287e-04, Loss_b: 4.35052e-05, Loss_f: 3.28906e-03, Loss_prev: 4.26160e-03
Iter: 9200, Loss: 1.38080e-02, Loss0: 2.89826e-04, Loss_b: 3.13481e-04, Loss_f: 7.90583e-03, Loss_prev: 5.29888e-03
Iter: 9300, Loss: 7.56908e-03, Loss0: 8.72718e-05, Loss_b: 3.25012e-05, Loss_f: 3.39919e-03, Loss_prev: 4.05012e-03
Iter: 9400, Loss: 1.05208e-02, Loss0: 1.52718e-04, Loss_b: 1.30921e-04, Loss_f: 5.21562e-03, Loss_prev: 5.02152e-03
Iter: 9500, Loss: 1.60532e-02, Loss0: 3.90055e-04, Loss_b: 2.99907e-04, Loss_f: 1.09534e-02, Loss_prev: 4.40980e-03
Iter: 9600, Loss: 1.90903e-02, Loss0: 5.53815e-04, Loss_b: 1.40966e-03, Loss_f: 1.15109e-02, Loss_prev: 5.61592e-03
Iter: 9700, Loss: 8.33503e-03, Loss0: 1.42015e-04, Loss_b: 1.59576e-04, Loss_f: 3.46727e-03, Loss_prev: 4.56617e-03
Iter: 9800, Loss: 6.89990e-03, Loss0: 7.49953e-05, Loss_b: 7.98399e-06, Loss_f: 2.66529e-03, Loss_prev: 4.15164e-03
Iter: 9900, Loss: 1.76165e-02, Loss0: 5.22508e-04, Loss_b: 7.90787e-04, Loss_f: 1.10044e-02, Loss_prev: 5.29881e-03
Iter: 10000, Loss: 8.50164e-03, Loss0: 1.35757e-04, Loss_b: 5.39732e-05, Loss_f: 3.98807e-03, Loss_prev: 4.32385e-03
Iter: 10100, Loss: 5.80002e-03, Loss0: 8.67162e-05, Loss_b: 4.10263e-06, Loss_f: 2.64777e-03, Loss_prev: 3.06143e-03
Iter: 10200, Loss: 4.58019e-03, Loss0: 9.69103e-05, Loss_b: 3.99219e-06, Loss_f: 2.33456e-03, Loss_prev: 2.14473e-03
Iter: 10300, Loss: 3.55432e-03, Loss0: 7.24053e-05, Loss_b: 6.95230e-06, Loss_f: 1.85327e-03, Loss_prev: 1.62169e-03
Iter: 10400, Loss: 2.86164e-03, Loss0: 7.07976e-05, Loss_b: 3.36250e-06, Loss_f: 1.67343e-03, Loss_prev: 1.11405e-03
Iter: 10500, Loss: 2.29409e-03, Loss0: 5.52309e-05, Loss_b: 2.13157e-06, Loss_f: 1.51088e-03, Loss_prev: 7.25847e-04
Iter: 10600, Loss: 1.82082e-03, Loss0: 4.57353e-05, Loss_b: 6.28980e-06, Loss_f: 1.15448e-03, Loss_prev: 6.14315e-04
Iter: 10700, Loss: 1.47308e-03, Loss0: 4.33246e-05, Loss_b: 2.88406e-06, Loss_f: 1.01718e-03, Loss_prev: 4.09696e-04
Iter: 10800, Loss: 1.15985e-03, Loss0: 4.10409e-05, Loss_b: 1.98045e-06, Loss_f: 7.74666e-04, Loss_prev: 3.42164e-04
Iter: 10900, Loss: 9.38326e-04, Loss0: 3.86707e-05, Loss_b: 4.86427e-06, Loss_f: 6.43268e-04, Loss_prev: 2.51523e-04
Iter: 11000, Loss: 7.56094e-04, Loss0: 3.31526e-05, Loss_b: 2.92141e-06, Loss_f: 5.40392e-04, Loss_prev: 1.79629e-04
Iter: 11100, Loss: 6.28814e-04, Loss0: 2.89675e-05, Loss_b: 1.74477e-06, Loss_f: 4.62240e-04, Loss_prev: 1.35862e-04
Iter: 11200, Loss: 5.45849e-04, Loss0: 2.52334e-05, Loss_b: 1.48965e-06, Loss_f: 3.98986e-04, Loss_prev: 1.20140e-04
Iter: 11300, Loss: 4.79041e-04, Loss0: 2.17093e-05, Loss_b: 1.33837e-06, Loss_f: 3.58121e-04, Loss_prev: 9.78727e-05
Iter: 11400, Loss: 4.22194e-04, Loss0: 1.89403e-05, Loss_b: 1.51056e-06, Loss_f: 3.08550e-04, Loss_prev: 9.31931e-05
Iter: 11500, Loss: 3.66707e-04, Loss0: 1.60659e-05, Loss_b: 9.43755e-07, Loss_f: 2.77540e-04, Loss_prev: 7.21572e-05
Iter: 11600, Loss: 3.21986e-04, Loss0: 1.36316e-05, Loss_b: 1.87483e-06, Loss_f: 2.53213e-04, Loss_prev: 5.32669e-05
Iter: 11700, Loss: 2.85354e-04, Loss0: 1.16499e-05, Loss_b: 2.05484e-06, Loss_f: 2.21866e-04, Loss_prev: 4.97835e-05
Iter: 11800, Loss: 2.50563e-04, Loss0: 1.03576e-05, Loss_b: 1.43418e-06, Loss_f: 1.96993e-04, Loss_prev: 4.17780e-05
Iter: 11900, Loss: 2.24548e-04, Loss0: 9.91771e-06, Loss_b: 1.01089e-06, Loss_f: 1.80477e-04, Loss_prev: 3.31424e-05
Iter: 12000, Loss: 1.99963e-04, Loss0: 9.33416e-06, Loss_b: 1.20648e-06, Loss_f: 1.67755e-04, Loss_prev: 2.16674e-05
Iter: 12100, Loss: 1.76052e-04, Loss0: 8.78854e-06, Loss_b: 9.97418e-07, Loss_f: 1.47098e-04, Loss_prev: 1.91678e-05
Iter: 12200, Loss: 1.56854e-04, Loss0: 7.98415e-06, Loss_b: 9.33775e-07, Loss_f: 1.30098e-04, Loss_prev: 1.78379e-05
Iter: 12300, Loss: 1.41652e-04, Loss0: 7.71682e-06, Loss_b: 1.08385e-06, Loss_f: 1.19114e-04, Loss_prev: 1.37370e-05
Iter: 12400, Loss: 1.27468e-04, Loss0: 7.27037e-06, Loss_b: 7.51893e-07, Loss_f: 1.08360e-04, Loss_prev: 1.10854e-05
Iter: 12500, Loss: 1.15109e-04, Loss0: 6.61678e-06, Loss_b: 6.37705e-07, Loss_f: 9.84330e-05, Loss_prev: 9.42151e-06
Iter: 12600, Loss: 1.04012e-04, Loss0: 5.62372e-06, Loss_b: 6.05674e-07, Loss_f: 9.00964e-05, Loss_prev: 7.68586e-06
Iter: 12700, Loss: 9.62131e-05, Loss0: 5.09610e-06, Loss_b: 4.38972e-07, Loss_f: 8.31928e-05, Loss_prev: 7.48515e-06
Iter: 12800, Loss: 8.85666e-05, Loss0: 4.52565e-06, Loss_b: 2.61855e-07, Loss_f: 7.74890e-05, Loss_prev: 6.29003e-06
Iter: 12900, Loss: 8.21531e-05, Loss0: 4.00787e-06, Loss_b: 2.16942e-07, Loss_f: 7.28492e-05, Loss_prev: 5.07911e-06
Iter: 13000, Loss: 7.67711e-05, Loss0: 3.60329e-06, Loss_b: 1.93306e-07, Loss_f: 6.78064e-05, Loss_prev: 5.16805e-06
Iter: 13100, Loss: 7.20254e-05, Loss0: 3.36023e-06, Loss_b: 2.87612e-07, Loss_f: 6.32834e-05, Loss_prev: 5.09410e-06
Iter: 13200, Loss: 6.78480e-05, Loss0: 3.14425e-06, Loss_b: 2.79853e-07, Loss_f: 5.94955e-05, Loss_prev: 4.92833e-06
Iter: 13300, Loss: 6.27904e-05, Loss0: 3.01394e-06, Loss_b: 2.31394e-07, Loss_f: 5.55519e-05, Loss_prev: 3.99312e-06
Iter: 13400, Loss: 5.90994e-05, Loss0: 2.85486e-06, Loss_b: 2.24863e-07, Loss_f: 5.24393e-05, Loss_prev: 3.58037e-06
Iter: 13500, Loss: 5.60403e-05, Loss0: 2.56227e-06, Loss_b: 1.52836e-07, Loss_f: 4.96184e-05, Loss_prev: 3.70681e-06
Iter: 13600, Loss: 5.31126e-05, Loss0: 2.43053e-06, Loss_b: 1.19980e-07, Loss_f: 4.74106e-05, Loss_prev: 3.15150e-06
Iter: 13700, Loss: 5.03557e-05, Loss0: 2.40062e-06, Loss_b: 9.36079e-08, Loss_f: 4.51230e-05, Loss_prev: 2.73840e-06
Iter: 13800, Loss: 4.86242e-05, Loss0: 2.39479e-06, Loss_b: 1.59392e-07, Loss_f: 4.33597e-05, Loss_prev: 2.71032e-06
Iter: 13900, Loss: 4.57731e-05, Loss0: 2.21340e-06, Loss_b: 1.06202e-07, Loss_f: 4.11360e-05, Loss_prev: 2.31754e-06
Iter: 14000, Loss: 4.33762e-05, Loss0: 2.05608e-06, Loss_b: 1.81240e-07, Loss_f: 3.90907e-05, Loss_prev: 2.04817e-06
Iter: 14100, Loss: 4.10733e-05, Loss0: 1.98763e-06, Loss_b: 1.80939e-07, Loss_f: 3.69142e-05, Loss_prev: 1.99055e-06
Iter: 14200, Loss: 3.88933e-05, Loss0: 1.94684e-06, Loss_b: 1.97879e-07, Loss_f: 3.46997e-05, Loss_prev: 2.04890e-06
Iter: 14300, Loss: 3.67906e-05, Loss0: 1.86710e-06, Loss_b: 2.70935e-07, Loss_f: 3.27813e-05, Loss_prev: 1.87126e-06
Iter: 14400, Loss: 3.49178e-05, Loss0: 1.69830e-06, Loss_b: 2.65784e-07, Loss_f: 3.11963e-05, Loss_prev: 1.75741e-06
Iter: 14500, Loss: 3.34604e-05, Loss0: 1.57759e-06, Loss_b: 2.30149e-07, Loss_f: 2.99537e-05, Loss_prev: 1.69899e-06
Iter: 14600, Loss: 3.17534e-05, Loss0: 1.52590e-06, Loss_b: 1.89453e-07, Loss_f: 2.87419e-05, Loss_prev: 1.29609e-06
Iter: 14700, Loss: 3.04630e-05, Loss0: 1.45517e-06, Loss_b: 1.51395e-07, Loss_f: 2.74151e-05, Loss_prev: 1.44133e-06
Iter: 14800, Loss: 2.92309e-05, Loss0: 1.33978e-06, Loss_b: 1.51821e-07, Loss_f: 2.63629e-05, Loss_prev: 1.37637e-06
Iter: 14900, Loss: 2.80771e-05, Loss0: 1.27708e-06, Loss_b: 1.37244e-07, Loss_f: 2.53501e-05, Loss_prev: 1.31272e-06
Iter: 15000, Loss: 2.70881e-05, Loss0: 1.24774e-06, Loss_b: 1.17446e-07, Loss_f: 2.45406e-05, Loss_prev: 1.18236e-06
Iter: 15100, Loss: 2.58426e-05, Loss0: 1.19307e-06, Loss_b: 1.10393e-07, Loss_f: 2.34446e-05, Loss_prev: 1.09461e-06
Iter: 15200, Loss: 2.48631e-05, Loss0: 1.13685e-06, Loss_b: 9.98279e-08, Loss_f: 2.26668e-05, Loss_prev: 9.59608e-07
Iter: 15300, Loss: 2.38865e-05, Loss0: 1.10501e-06, Loss_b: 9.85554e-08, Loss_f: 2.17859e-05, Loss_prev: 8.97040e-07
Iter: 15400, Loss: 2.30035e-05, Loss0: 1.08057e-06, Loss_b: 1.02627e-07, Loss_f: 2.09738e-05, Loss_prev: 8.46570e-07
Iter: 15500, Loss: 2.20610e-05, Loss0: 1.11639e-06, Loss_b: 1.05356e-07, Loss_f: 2.00515e-05, Loss_prev: 7.87764e-07
