Start Training:
Iter: 12400, Loss: 4.32852e-05, Loss_0: 5.02734e-06, Loss_b: 1.60789e-06, Loss_f: 3.66499e-05
Iter: 12500, Loss: 4.20444e-05, Loss_0: 5.17857e-06, Loss_b: 1.62368e-06, Loss_f: 3.52421e-05
Iter: 12600, Loss: 4.08586e-05, Loss_0: 5.13484e-06, Loss_b: 1.58545e-06, Loss_f: 3.41383e-05
Iter: 12700, Loss: 3.95121e-05, Loss_0: 4.87592e-06, Loss_b: 1.46951e-06, Loss_f: 3.31667e-05
Iter: 12800, Loss: 3.82704e-05, Loss_0: 4.93583e-06, Loss_b: 1.45965e-06, Loss_f: 3.18749e-05
Iter: 12900, Loss: 3.72126e-05, Loss_0: 4.80964e-06, Loss_b: 1.41083e-06, Loss_f: 3.09922e-05
Iter: 13000, Loss: 3.58005e-05, Loss_0: 4.75679e-06, Loss_b: 1.36527e-06, Loss_f: 2.96784e-05
Iter: 13100, Loss: 3.45808e-05, Loss_0: 4.55256e-06, Loss_b: 1.22470e-06, Loss_f: 2.88035e-05
Iter: 13200, Loss: 3.34517e-05, Loss_0: 4.46244e-06, Loss_b: 1.12059e-06, Loss_f: 2.78686e-05
Iter: 13300, Loss: 3.23449e-05, Loss_0: 4.16792e-06, Loss_b: 1.13421e-06, Loss_f: 2.70427e-05
Iter: 13400, Loss: 3.13546e-05, Loss_0: 3.92942e-06, Loss_b: 1.28425e-06, Loss_f: 2.61409e-05
Iter: 13500, Loss: 3.04139e-05, Loss_0: 3.81163e-06, Loss_b: 1.25618e-06, Loss_f: 2.53461e-05
Iter: 13600, Loss: 2.94512e-05, Loss_0: 3.77987e-06, Loss_b: 1.21854e-06, Loss_f: 2.44528e-05
Iter: 13700, Loss: 2.86357e-05, Loss_0: 3.61676e-06, Loss_b: 1.23734e-06, Loss_f: 2.37816e-05
Iter: 13800, Loss: 2.77471e-05, Loss_0: 3.55548e-06, Loss_b: 1.18636e-06, Loss_f: 2.30052e-05
Iter: 13900, Loss: 2.69767e-05, Loss_0: 3.55722e-06, Loss_b: 1.12785e-06, Loss_f: 2.22917e-05
Iter: 14000, Loss: 2.61269e-05, Loss_0: 3.46019e-06, Loss_b: 1.04616e-06, Loss_f: 2.16206e-05
Iter: 14100, Loss: 2.54531e-05, Loss_0: 3.41670e-06, Loss_b: 1.06805e-06, Loss_f: 2.09683e-05
Iter: 14200, Loss: 2.47125e-05, Loss_0: 3.29864e-06, Loss_b: 9.89023e-07, Loss_f: 2.04248e-05
Iter: 14300, Loss: 2.39915e-05, Loss_0: 3.21584e-06, Loss_b: 1.02578e-06, Loss_f: 1.97499e-05
Iter: 14400, Loss: 2.32587e-05, Loss_0: 3.18614e-06, Loss_b: 9.96653e-07, Loss_f: 1.90759e-05
Iter: 14500, Loss: 2.26478e-05, Loss_0: 3.02258e-06, Loss_b: 9.87465e-07, Loss_f: 1.86378e-05
Iter: 14600, Loss: 2.19975e-05, Loss_0: 2.86745e-06, Loss_b: 9.30811e-07, Loss_f: 1.81993e-05
Iter: 14700, Loss: 2.14723e-05, Loss_0: 2.72470e-06, Loss_b: 9.03606e-07, Loss_f: 1.78440e-05
Iter: 14800, Loss: 2.08417e-05, Loss_0: 2.60476e-06, Loss_b: 8.95784e-07, Loss_f: 1.73412e-05
Iter: 14900, Loss: 2.03053e-05, Loss_0: 2.57586e-06, Loss_b: 8.87261e-07, Loss_f: 1.68422e-05
Iter: 15000, Loss: 1.97336e-05, Loss_0: 2.44792e-06, Loss_b: 8.41093e-07, Loss_f: 1.64446e-05
Iter: 15100, Loss: 1.92514e-05, Loss_0: 2.43925e-06, Loss_b: 8.82456e-07, Loss_f: 1.59297e-05
Iter: 15200, Loss: 1.86884e-05, Loss_0: 2.36857e-06, Loss_b: 8.91956e-07, Loss_f: 1.54279e-05
Iter: 15300, Loss: 1.82452e-05, Loss_0: 2.28546e-06, Loss_b: 8.20166e-07, Loss_f: 1.51396e-05
Iter: 15400, Loss: 1.78698e-05, Loss_0: 2.21316e-06, Loss_b: 8.41487e-07, Loss_f: 1.48152e-05
Iter: 15500, Loss: 1.74648e-05, Loss_0: 2.13781e-06, Loss_b: 8.70127e-07, Loss_f: 1.44569e-05
Iter: 15600, Loss: 1.71097e-05, Loss_0: 2.15044e-06, Loss_b: 8.42159e-07, Loss_f: 1.41171e-05
