Start Training:
Iter: 5300, Loss: 3.31737e-02, Loss_0: 7.59913e-04, Loss_b: 9.88008e-05, Loss_f: 2.37887e-03, Loss_s: 2.99362e-02
Iter: 5400, Loss: 3.26158e-02, Loss_0: 7.64069e-04, Loss_b: 7.67805e-06, Loss_f: 1.91053e-03, Loss_s: 2.99336e-02
Iter: 5500, Loss: 3.34097e-02, Loss_0: 7.38640e-04, Loss_b: 7.37857e-06, Loss_f: 2.57940e-03, Loss_s: 3.00843e-02
Iter: 5600, Loss: 3.22248e-02, Loss_0: 6.98237e-04, Loss_b: 9.08782e-06, Loss_f: 1.68120e-03, Loss_s: 2.98363e-02
Iter: 5700, Loss: 3.51846e-02, Loss_0: 7.09570e-04, Loss_b: 2.85400e-05, Loss_f: 4.47075e-03, Loss_s: 2.99757e-02
Iter: 5800, Loss: 3.30954e-02, Loss_0: 9.76677e-04, Loss_b: 6.04386e-06, Loss_f: 2.00253e-03, Loss_s: 3.01101e-02
Iter: 5900, Loss: 3.28389e-02, Loss_0: 6.44881e-04, Loss_b: 1.74189e-06, Loss_f: 2.43758e-03, Loss_s: 2.97547e-02
Iter: 6000, Loss: 3.10474e-02, Loss_0: 7.34884e-04, Loss_b: 3.74197e-06, Loss_f: 8.31181e-04, Loss_s: 2.94776e-02
Iter: 6100, Loss: 3.20178e-02, Loss_0: 6.87097e-04, Loss_b: 3.36205e-05, Loss_f: 1.67335e-03, Loss_s: 2.96237e-02
Iter: 6200, Loss: 3.19687e-02, Loss_0: 7.02935e-04, Loss_b: 2.27047e-05, Loss_f: 1.96392e-03, Loss_s: 2.92792e-02
Iter: 6300, Loss: 3.29105e-02, Loss_0: 5.94253e-04, Loss_b: 4.11315e-05, Loss_f: 2.67480e-03, Loss_s: 2.96003e-02
Iter: 6400, Loss: 3.20817e-02, Loss_0: 8.04735e-04, Loss_b: 8.69156e-05, Loss_f: 1.89121e-03, Loss_s: 2.92988e-02
Iter: 6500, Loss: 3.19059e-02, Loss_0: 6.97375e-04, Loss_b: 1.15939e-05, Loss_f: 1.87045e-03, Loss_s: 2.93265e-02
Iter: 6600, Loss: 3.11548e-02, Loss_0: 8.35714e-04, Loss_b: 1.53235e-05, Loss_f: 1.04362e-03, Loss_s: 2.92602e-02
Iter: 6700, Loss: 3.15813e-02, Loss_0: 7.92664e-04, Loss_b: 1.70653e-04, Loss_f: 1.34594e-03, Loss_s: 2.92720e-02
Iter: 6800, Loss: 3.06673e-02, Loss_0: 8.38033e-04, Loss_b: 9.40866e-06, Loss_f: 7.74929e-04, Loss_s: 2.90450e-02
Iter: 6900, Loss: 3.16465e-02, Loss_0: 6.31096e-04, Loss_b: 2.37686e-04, Loss_f: 1.44183e-03, Loss_s: 2.93359e-02
Iter: 7000, Loss: 3.20325e-02, Loss_0: 5.84581e-04, Loss_b: 1.99440e-05, Loss_f: 2.24360e-03, Loss_s: 2.91844e-02
Iter: 7100, Loss: 3.07604e-02, Loss_0: 6.31519e-04, Loss_b: 1.03539e-05, Loss_f: 1.13320e-03, Loss_s: 2.89853e-02
Iter: 7200, Loss: 3.10322e-02, Loss_0: 7.55437e-04, Loss_b: 4.24625e-06, Loss_f: 9.46657e-04, Loss_s: 2.93259e-02
Iter: 7300, Loss: 3.02741e-02, Loss_0: 6.54825e-04, Loss_b: 2.12308e-05, Loss_f: 6.87937e-04, Loss_s: 2.89101e-02
Iter: 7400, Loss: 3.06443e-02, Loss_0: 6.35781e-04, Loss_b: 2.30940e-05, Loss_f: 9.94479e-04, Loss_s: 2.89910e-02
Iter: 7500, Loss: 3.09306e-02, Loss_0: 6.05175e-04, Loss_b: 2.28109e-05, Loss_f: 1.19720e-03, Loss_s: 2.91054e-02
Iter: 7600, Loss: 3.06779e-02, Loss_0: 7.17287e-04, Loss_b: 7.72746e-06, Loss_f: 1.12377e-03, Loss_s: 2.88291e-02
Iter: 7700, Loss: 3.06621e-02, Loss_0: 7.53844e-04, Loss_b: 6.35731e-06, Loss_f: 1.03032e-03, Loss_s: 2.88715e-02
Iter: 7800, Loss: 3.02987e-02, Loss_0: 7.08226e-04, Loss_b: 5.53203e-06, Loss_f: 7.76207e-04, Loss_s: 2.88087e-02
Iter: 7900, Loss: 5.31862e-02, Loss_0: 2.41030e-03, Loss_b: 7.38620e-05, Loss_f: 6.15679e-03, Loss_s: 4.45452e-02
Iter: 8000, Loss: 3.36110e-02, Loss_0: 1.06100e-03, Loss_b: 3.06188e-05, Loss_f: 3.25683e-03, Loss_s: 2.92625e-02
Iter: 8100, Loss: 2.98820e-02, Loss_0: 6.73931e-04, Loss_b: 8.95970e-07, Loss_f: 4.97960e-04, Loss_s: 2.87092e-02
Iter: 8200, Loss: 3.02810e-02, Loss_0: 7.22101e-04, Loss_b: 3.51567e-06, Loss_f: 7.94276e-04, Loss_s: 2.87611e-02
Iter: 8300, Loss: 3.00014e-02, Loss_0: 6.95386e-04, Loss_b: 4.45682e-06, Loss_f: 6.96290e-04, Loss_s: 2.86053e-02
Iter: 8400, Loss: 3.04028e-02, Loss_0: 7.26318e-04, Loss_b: 3.89318e-05, Loss_f: 8.24765e-04, Loss_s: 2.88128e-02
Iter: 8500, Loss: 2.98518e-02, Loss_0: 6.95879e-04, Loss_b: 6.33106e-06, Loss_f: 5.56180e-04, Loss_s: 2.85934e-02
Iter: 8600, Loss: 3.05116e-02, Loss_0: 6.73779e-04, Loss_b: 6.38654e-06, Loss_f: 1.26016e-03, Loss_s: 2.85713e-02
Iter: 8700, Loss: 2.97682e-02, Loss_0: 6.65927e-04, Loss_b: 1.19793e-05, Loss_f: 5.05395e-04, Loss_s: 2.85849e-02
Iter: 8800, Loss: 3.06154e-02, Loss_0: 6.86827e-04, Loss_b: 2.70968e-06, Loss_f: 1.24475e-03, Loss_s: 2.86811e-02
Iter: 8900, Loss: 3.03871e-02, Loss_0: 7.82094e-04, Loss_b: 4.19368e-05, Loss_f: 8.67593e-04, Loss_s: 2.86955e-02
