Start Training:
Iter: 6100, Loss: 2.68751e-02, Loss_0: 2.76414e-03, Loss_b: 2.83610e-06, Loss_f: 2.79978e-03, Loss_s: 2.13084e-02
Iter: 6200, Loss: 2.66389e-02, Loss_0: 2.65294e-03, Loss_b: 1.08682e-04, Loss_f: 2.94650e-03, Loss_s: 2.09308e-02
Iter: 6300, Loss: 2.59323e-02, Loss_0: 2.49730e-03, Loss_b: 2.82378e-06, Loss_f: 2.82493e-03, Loss_s: 2.06073e-02
Iter: 6400, Loss: 2.53371e-02, Loss_0: 2.45617e-03, Loss_b: 2.78485e-06, Loss_f: 2.63178e-03, Loss_s: 2.02464e-02
Iter: 6500, Loss: 2.49844e-02, Loss_0: 2.47046e-03, Loss_b: 3.19217e-06, Loss_f: 2.63117e-03, Loss_s: 1.98796e-02
Iter: 6600, Loss: 2.59668e-02, Loss_0: 2.36594e-03, Loss_b: 3.23073e-06, Loss_f: 3.98892e-03, Loss_s: 1.96087e-02
Iter: 6700, Loss: 2.60296e-02, Loss_0: 2.35764e-03, Loss_b: 4.13244e-06, Loss_f: 4.42131e-03, Loss_s: 1.92465e-02
Iter: 6800, Loss: 2.35843e-02, Loss_0: 2.17041e-03, Loss_b: 2.72740e-06, Loss_f: 2.44318e-03, Loss_s: 1.89680e-02
Iter: 6900, Loss: 2.32534e-02, Loss_0: 2.14665e-03, Loss_b: 2.50951e-06, Loss_f: 2.45069e-03, Loss_s: 1.86535e-02
Iter: 7000, Loss: 2.42259e-02, Loss_0: 2.28527e-03, Loss_b: 3.38852e-06, Loss_f: 3.68347e-03, Loss_s: 1.82538e-02
Iter: 7100, Loss: 2.24188e-02, Loss_0: 1.97677e-03, Loss_b: 2.01445e-06, Loss_f: 2.32199e-03, Loss_s: 1.81180e-02
Iter: 7200, Loss: 2.20987e-02, Loss_0: 1.98644e-03, Loss_b: 1.68601e-06, Loss_f: 2.25660e-03, Loss_s: 1.78540e-02
Iter: 7300, Loss: 2.58340e-02, Loss_0: 1.71108e-03, Loss_b: 2.17997e-05, Loss_f: 6.27485e-03, Loss_s: 1.78263e-02
Iter: 7400, Loss: 2.82643e-02, Loss_0: 1.70624e-03, Loss_b: 4.87570e-06, Loss_f: 8.89246e-03, Loss_s: 1.76607e-02
Iter: 7500, Loss: 2.10549e-02, Loss_0: 1.75030e-03, Loss_b: 2.82943e-06, Loss_f: 2.20381e-03, Loss_s: 1.70980e-02
Iter: 7600, Loss: 2.08007e-02, Loss_0: 1.71645e-03, Loss_b: 1.64279e-06, Loss_f: 2.21501e-03, Loss_s: 1.68676e-02
Iter: 7700, Loss: 2.05356e-02, Loss_0: 1.68988e-03, Loss_b: 1.17242e-06, Loss_f: 2.22659e-03, Loss_s: 1.66179e-02
Iter: 7800, Loss: 2.06563e-02, Loss_0: 1.70513e-03, Loss_b: 2.17674e-06, Loss_f: 2.61615e-03, Loss_s: 1.63329e-02
Iter: 7900, Loss: 1.98137e-02, Loss_0: 1.57377e-03, Loss_b: 9.67148e-07, Loss_f: 2.09258e-03, Loss_s: 1.61464e-02
Iter: 8000, Loss: 1.95535e-02, Loss_0: 1.55152e-03, Loss_b: 1.04939e-06, Loss_f: 2.05565e-03, Loss_s: 1.59452e-02
Iter: 8100, Loss: 1.94302e-02, Loss_0: 1.57129e-03, Loss_b: 8.76481e-07, Loss_f: 2.10291e-03, Loss_s: 1.57551e-02
Iter: 8200, Loss: 1.90076e-02, Loss_0: 1.47280e-03, Loss_b: 7.64065e-07, Loss_f: 2.02394e-03, Loss_s: 1.55101e-02
Iter: 8300, Loss: 1.92230e-02, Loss_0: 1.59460e-03, Loss_b: 1.89747e-06, Loss_f: 2.31820e-03, Loss_s: 1.53083e-02
Iter: 8400, Loss: 3.97632e-02, Loss_0: 1.19659e-03, Loss_b: 6.48135e-06, Loss_f: 2.26542e-02, Loss_s: 1.59060e-02
Iter: 8500, Loss: 1.82460e-02, Loss_0: 1.38510e-03, Loss_b: 5.96424e-07, Loss_f: 1.95070e-03, Loss_s: 1.49096e-02
Iter: 8600, Loss: 1.84627e-02, Loss_0: 1.45408e-03, Loss_b: 7.04034e-07, Loss_f: 2.37845e-03, Loss_s: 1.46295e-02
Iter: 8700, Loss: 1.77464e-02, Loss_0: 1.32792e-03, Loss_b: 4.71094e-07, Loss_f: 1.91321e-03, Loss_s: 1.45048e-02
Iter: 8800, Loss: 1.75875e-02, Loss_0: 1.36534e-03, Loss_b: 5.19057e-07, Loss_f: 1.88297e-03, Loss_s: 1.43386e-02
Iter: 8900, Loss: 1.74014e-02, Loss_0: 1.33731e-03, Loss_b: 5.82735e-07, Loss_f: 1.95923e-03, Loss_s: 1.41043e-02
Iter: 9000, Loss: 1.70580e-02, Loss_0: 1.24486e-03, Loss_b: 3.48172e-07, Loss_f: 1.85237e-03, Loss_s: 1.39605e-02
Iter: 9100, Loss: 1.68365e-02, Loss_0: 1.26001e-03, Loss_b: 3.06692e-07, Loss_f: 1.80213e-03, Loss_s: 1.37741e-02
Iter: 9200, Loss: 2.14714e-02, Loss_0: 1.40883e-03, Loss_b: 1.24871e-06, Loss_f: 6.46244e-03, Loss_s: 1.35989e-02
Iter: 9300, Loss: 1.65935e-02, Loss_0: 1.28700e-03, Loss_b: 4.87330e-07, Loss_f: 1.86817e-03, Loss_s: 1.34378e-02
Iter: 9400, Loss: 1.61423e-02, Loss_0: 1.16776e-03, Loss_b: 2.21489e-07, Loss_f: 1.74835e-03, Loss_s: 1.32259e-02
