Start Training:
Iter: 5200, Loss: 7.69981e-02, Loss_0: 3.03825e-03, Loss_b: 1.18690e-05, Loss_f: 5.72322e-03, Loss_s: 6.82248e-02
Iter: 5300, Loss: 7.68186e-02, Loss_0: 3.33128e-03, Loss_b: 2.77431e-05, Loss_f: 5.59232e-03, Loss_s: 6.78673e-02
Iter: 5400, Loss: 7.33775e-02, Loss_0: 3.20445e-03, Loss_b: 1.03380e-05, Loss_f: 2.39979e-03, Loss_s: 6.77629e-02
Iter: 5500, Loss: 1.25715e-01, Loss_0: 3.34513e-03, Loss_b: 4.13306e-06, Loss_f: 5.45731e-02, Loss_s: 6.77929e-02
Iter: 5600, Loss: 8.09472e-02, Loss_0: 3.06915e-03, Loss_b: 5.72178e-05, Loss_f: 1.01663e-02, Loss_s: 6.76546e-02
Iter: 5700, Loss: 7.35687e-02, Loss_0: 2.97627e-03, Loss_b: 7.96247e-06, Loss_f: 3.11114e-03, Loss_s: 6.74733e-02
Iter: 5800, Loss: 7.26254e-02, Loss_0: 3.04825e-03, Loss_b: 6.90429e-06, Loss_f: 2.28427e-03, Loss_s: 6.72860e-02
Iter: 5900, Loss: 8.23357e-02, Loss_0: 3.23299e-03, Loss_b: 7.40529e-06, Loss_f: 1.19565e-02, Loss_s: 6.71388e-02
Iter: 6000, Loss: 7.19578e-02, Loss_0: 2.95640e-03, Loss_b: 6.84386e-06, Loss_f: 1.93270e-03, Loss_s: 6.70619e-02
Iter: 6100, Loss: 7.17225e-02, Loss_0: 2.95214e-03, Loss_b: 6.04080e-06, Loss_f: 1.81192e-03, Loss_s: 6.69524e-02
Iter: 6200, Loss: 7.21626e-02, Loss_0: 2.96164e-03, Loss_b: 5.14091e-06, Loss_f: 2.33331e-03, Loss_s: 6.68625e-02
Iter: 6300, Loss: 7.51890e-02, Loss_0: 3.02029e-03, Loss_b: 7.62145e-06, Loss_f: 5.41337e-03, Loss_s: 6.67477e-02
Iter: 6400, Loss: 8.26742e-02, Loss_0: 2.95419e-03, Loss_b: 5.77018e-06, Loss_f: 1.29921e-02, Loss_s: 6.67221e-02
