Start Training:
Iter: 5600, Loss: 8.68652e-03, Loss0: 1.25324e-04, Loss_b: 4.09241e-06, Loss_f: 2.97102e-03, Loss_prev: 5.58608e-03
Iter: 5700, Loss: 1.02180e-02, Loss0: 1.61907e-04, Loss_b: 9.04436e-05, Loss_f: 4.84753e-03, Loss_prev: 5.11813e-03
Iter: 5800, Loss: 1.69313e-02, Loss0: 2.91291e-04, Loss_b: 5.12210e-04, Loss_f: 1.09511e-02, Loss_prev: 5.17665e-03
Iter: 5900, Loss: 1.00345e-02, Loss0: 2.03853e-04, Loss_b: 1.11986e-04, Loss_f: 3.47558e-03, Loss_prev: 6.24313e-03
Iter: 6000, Loss: 8.12640e-03, Loss0: 1.19620e-04, Loss_b: 8.09331e-06, Loss_f: 2.85046e-03, Loss_prev: 5.14822e-03
Iter: 6100, Loss: 8.06827e-03, Loss0: 1.23027e-04, Loss_b: 2.64330e-05, Loss_f: 3.12094e-03, Loss_prev: 4.79787e-03
Iter: 6200, Loss: 4.21331e-02, Loss0: 1.18997e-03, Loss_b: 3.54005e-03, Loss_f: 2.98109e-02, Loss_prev: 7.59223e-03
Iter: 6300, Loss: 2.09574e-02, Loss0: 4.87297e-04, Loss_b: 8.50815e-04, Loss_f: 1.37213e-02, Loss_prev: 5.89791e-03
Iter: 6400, Loss: 9.29218e-03, Loss0: 1.48213e-04, Loss_b: 1.27775e-04, Loss_f: 3.70943e-03, Loss_prev: 5.30676e-03
Iter: 6500, Loss: 3.07572e-02, Loss0: 4.84129e-04, Loss_b: 1.33527e-03, Loss_f: 2.43376e-02, Loss_prev: 4.60027e-03
Iter: 6600, Loss: 8.70498e-03, Loss0: 1.53083e-04, Loss_b: 1.86125e-04, Loss_f: 3.69334e-03, Loss_prev: 4.67243e-03
Iter: 6700, Loss: 4.35965e-02, Loss0: 1.11241e-03, Loss_b: 3.72077e-03, Loss_f: 3.11513e-02, Loss_prev: 7.61202e-03
Iter: 6800, Loss: 1.87831e-02, Loss0: 3.69217e-04, Loss_b: 9.10298e-04, Loss_f: 1.20025e-02, Loss_prev: 5.50105e-03
Iter: 6900, Loss: 9.87426e-03, Loss0: 1.54733e-04, Loss_b: 2.06157e-04, Loss_f: 4.17702e-03, Loss_prev: 5.33635e-03
Iter: 7000, Loss: 6.75863e-03, Loss0: 9.95964e-05, Loss_b: 1.98888e-06, Loss_f: 2.54103e-03, Loss_prev: 4.11602e-03
Iter: 7100, Loss: 3.00201e-02, Loss0: 8.75219e-04, Loss_b: 2.27371e-03, Loss_f: 2.07915e-02, Loss_prev: 6.07959e-03
Iter: 7200, Loss: 7.16837e-03, Loss0: 9.81582e-05, Loss_b: 2.48692e-05, Loss_f: 2.51114e-03, Loss_prev: 4.53421e-03
Iter: 7300, Loss: 6.95127e-03, Loss0: 9.72499e-05, Loss_b: 2.42665e-05, Loss_f: 2.68454e-03, Loss_prev: 4.14522e-03
Iter: 7400, Loss: 7.69771e-03, Loss0: 1.08964e-04, Loss_b: 6.58572e-05, Loss_f: 2.32561e-03, Loss_prev: 5.19728e-03
Iter: 7500, Loss: 7.65829e-03, Loss0: 9.43570e-05, Loss_b: 1.11473e-05, Loss_f: 2.57962e-03, Loss_prev: 4.97317e-03
Iter: 7600, Loss: 7.24250e-03, Loss0: 1.05397e-04, Loss_b: 1.04375e-04, Loss_f: 3.40074e-03, Loss_prev: 3.63199e-03
