Start Training:
Iter: 8900, Loss: 1.32462e-01, Loss_0: 8.50377e-02, Loss_b: 9.90863e-06, Loss_f: 4.74144e-02
Iter: 9000, Loss: 4.80362e-01, Loss_0: 5.51461e-02, Loss_b: 7.42310e-06, Loss_f: 4.25208e-01
Iter: 9100, Loss: 7.78946e-02, Loss_0: 5.66714e-02, Loss_b: 1.03853e-05, Loss_f: 2.12128e-02
Iter: 9200, Loss: 8.94418e-02, Loss_0: 6.96944e-02, Loss_b: 2.89293e-05, Loss_f: 1.97184e-02
Iter: 9300, Loss: 1.00981e-01, Loss_0: 6.02051e-02, Loss_b: 7.46725e-05, Loss_f: 4.07010e-02
Iter: 9400, Loss: 8.30062e-02, Loss_0: 5.66455e-02, Loss_b: 7.24172e-06, Loss_f: 2.63535e-02
Iter: 9500, Loss: 8.05110e-02, Loss_0: 5.37321e-02, Loss_b: 2.31396e-05, Loss_f: 2.67558e-02
Iter: 9600, Loss: 1.48987e-01, Loss_0: 5.83411e-02, Loss_b: 1.26945e-05, Loss_f: 9.06334e-02
Iter: 9700, Loss: 7.27242e-02, Loss_0: 5.55187e-02, Loss_b: 2.23403e-05, Loss_f: 1.71832e-02
Iter: 9800, Loss: 4.49194e-01, Loss_0: 5.47517e-02, Loss_b: 5.98342e-05, Loss_f: 3.94382e-01
Iter: 9900, Loss: 1.58926e-01, Loss_0: 5.27256e-02, Loss_b: 9.01154e-06, Loss_f: 1.06192e-01
Iter: 10000, Loss: 9.24702e-02, Loss_0: 6.70273e-02, Loss_b: 7.28916e-06, Loss_f: 2.54356e-02
Iter: 10100, Loss: 7.35284e-02, Loss_0: 5.64939e-02, Loss_b: 3.57257e-05, Loss_f: 1.69987e-02
Iter: 10200, Loss: 8.07741e-02, Loss_0: 5.66802e-02, Loss_b: 9.52887e-06, Loss_f: 2.40843e-02
Iter: 10300, Loss: 6.60232e-02, Loss_0: 4.96048e-02, Loss_b: 2.25024e-05, Loss_f: 1.63958e-02
Iter: 10400, Loss: 7.55700e-02, Loss_0: 5.35757e-02, Loss_b: 6.89136e-06, Loss_f: 2.19874e-02
Iter: 10500, Loss: 6.74545e-02, Loss_0: 4.71689e-02, Loss_b: 1.57910e-05, Loss_f: 2.02698e-02
Iter: 10600, Loss: 7.57314e-02, Loss_0: 4.95936e-02, Loss_b: 6.34665e-06, Loss_f: 2.61315e-02
Iter: 10700, Loss: 6.59177e-02, Loss_0: 5.04943e-02, Loss_b: 2.93001e-05, Loss_f: 1.53941e-02
Iter: 10800, Loss: 7.81562e-02, Loss_0: 6.10681e-02, Loss_b: 4.05793e-05, Loss_f: 1.70475e-02
Iter: 10900, Loss: 1.02826e-01, Loss_0: 5.89168e-02, Loss_b: 1.85022e-05, Loss_f: 4.38910e-02
Iter: 11000, Loss: 6.80454e-02, Loss_0: 5.01161e-02, Loss_b: 2.71425e-05, Loss_f: 1.79022e-02
Iter: 11100, Loss: 6.72145e-02, Loss_0: 4.58321e-02, Loss_b: 6.63726e-06, Loss_f: 2.13757e-02
Iter: 11200, Loss: 1.23087e-01, Loss_0: 5.58860e-02, Loss_b: 4.51088e-06, Loss_f: 6.71965e-02
Iter: 11300, Loss: 6.62326e-02, Loss_0: 4.26478e-02, Loss_b: 1.25868e-05, Loss_f: 2.35723e-02
Iter: 11400, Loss: 6.98806e-02, Loss_0: 4.66090e-02, Loss_b: 7.50629e-06, Loss_f: 2.32641e-02
Iter: 11500, Loss: 6.40261e-02, Loss_0: 4.55560e-02, Loss_b: 1.46834e-05, Loss_f: 1.84554e-02
Iter: 11600, Loss: 6.12782e-02, Loss_0: 4.36630e-02, Loss_b: 2.07309e-05, Loss_f: 1.75944e-02
