Start Training:
Iter: 6600, Loss: 6.97502e-02, Loss_0: 4.99910e-02, Loss_1: 1.50429e-02, Loss_b: 2.18913e-05, Loss_f: 4.69444e-03
Iter: 6700, Loss: 6.90786e-02, Loss_0: 4.99925e-02, Loss_1: 1.45072e-02, Loss_b: 1.38257e-05, Loss_f: 4.56510e-03
Iter: 6800, Loss: 6.85457e-02, Loss_0: 4.99936e-02, Loss_1: 1.40147e-02, Loss_b: 2.23457e-05, Loss_f: 4.51498e-03
Iter: 6900, Loss: 6.80214e-02, Loss_0: 4.99927e-02, Loss_1: 1.36317e-02, Loss_b: 7.96460e-06, Loss_f: 4.38913e-03
Iter: 7000, Loss: 6.76037e-02, Loss_0: 4.99914e-02, Loss_1: 1.32119e-02, Loss_b: 5.23671e-06, Loss_f: 4.39519e-03
Iter: 7100, Loss: 6.71387e-02, Loss_0: 4.99913e-02, Loss_1: 1.27723e-02, Loss_b: 6.73128e-06, Loss_f: 4.36847e-03
Iter: 7200, Loss: 6.66434e-02, Loss_0: 4.99921e-02, Loss_1: 1.22156e-02, Loss_b: 6.01907e-06, Loss_f: 4.42970e-03
Iter: 7300, Loss: 6.62406e-02, Loss_0: 4.99910e-02, Loss_1: 1.18419e-02, Loss_b: 1.20768e-05, Loss_f: 4.39563e-03
Iter: 7400, Loss: 6.56894e-02, Loss_0: 4.99937e-02, Loss_1: 1.15431e-02, Loss_b: 4.49829e-06, Loss_f: 4.14808e-03
Iter: 7500, Loss: 6.53523e-02, Loss_0: 4.99885e-02, Loss_1: 1.13574e-02, Loss_b: 6.35446e-06, Loss_f: 4.00012e-03
Iter: 7600, Loss: 6.49596e-02, Loss_0: 4.99883e-02, Loss_1: 1.11469e-02, Loss_b: 8.57355e-06, Loss_f: 3.81584e-03
Iter: 7700, Loss: 6.46090e-02, Loss_0: 4.99890e-02, Loss_1: 1.08216e-02, Loss_b: 1.21406e-05, Loss_f: 3.78631e-03
Iter: 7800, Loss: 6.42221e-02, Loss_0: 4.99909e-02, Loss_1: 1.04613e-02, Loss_b: 1.10732e-05, Loss_f: 3.75874e-03
Iter: 7900, Loss: 6.38270e-02, Loss_0: 4.99946e-02, Loss_1: 1.01920e-02, Loss_b: 6.78721e-06, Loss_f: 3.63368e-03
Iter: 8000, Loss: 6.34180e-02, Loss_0: 4.99972e-02, Loss_1: 9.93536e-03, Loss_b: 9.52293e-06, Loss_f: 3.47597e-03
Iter: 8100, Loss: 6.29977e-02, Loss_0: 5.00259e-02, Loss_1: 9.50313e-03, Loss_b: 2.74819e-05, Loss_f: 3.44118e-03
Iter: 8200, Loss: 6.25688e-02, Loss_0: 5.00172e-02, Loss_1: 9.28349e-03, Loss_b: 4.30252e-05, Loss_f: 3.22509e-03
Iter: 8300, Loss: 6.22700e-02, Loss_0: 5.00097e-02, Loss_1: 9.06653e-03, Loss_b: 4.59385e-05, Loss_f: 3.14786e-03
Iter: 8400, Loss: 6.20324e-02, Loss_0: 5.00006e-02, Loss_1: 8.90325e-03, Loss_b: 5.56599e-05, Loss_f: 3.07295e-03
Iter: 8500, Loss: 6.17362e-02, Loss_0: 4.99888e-02, Loss_1: 8.69773e-03, Loss_b: 5.13612e-05, Loss_f: 2.99835e-03
Iter: 8600, Loss: 6.15463e-02, Loss_0: 4.99884e-02, Loss_1: 8.54090e-03, Loss_b: 4.19744e-05, Loss_f: 2.97498e-03
Iter: 8700, Loss: 6.13796e-02, Loss_0: 4.99904e-02, Loss_1: 8.35506e-03, Loss_b: 3.10567e-05, Loss_f: 3.00300e-03
Iter: 8800, Loss: 6.12654e-02, Loss_0: 4.99880e-02, Loss_1: 8.20972e-03, Loss_b: 3.13358e-05, Loss_f: 3.03635e-03
Iter: 8900, Loss: 6.11191e-02, Loss_0: 4.99888e-02, Loss_1: 8.09884e-03, Loss_b: 3.05606e-05, Loss_f: 3.00091e-03
Iter: 9000, Loss: 6.09108e-02, Loss_0: 4.99879e-02, Loss_1: 7.91496e-03, Loss_b: 3.18475e-05, Loss_f: 2.97608e-03
Iter: 9100, Loss: 6.06620e-02, Loss_0: 4.99921e-02, Loss_1: 7.75030e-03, Loss_b: 3.44196e-05, Loss_f: 2.88517e-03
Iter: 9200, Loss: 6.04940e-02, Loss_0: 4.99891e-02, Loss_1: 7.71670e-03, Loss_b: 3.36669e-05, Loss_f: 2.75449e-03
Iter: 9300, Loss: 6.02935e-02, Loss_0: 4.99915e-02, Loss_1: 7.60500e-03, Loss_b: 3.27853e-05, Loss_f: 2.66420e-03
Iter: 9400, Loss: 6.01156e-02, Loss_0: 4.99894e-02, Loss_1: 7.53005e-03, Loss_b: 3.68003e-05, Loss_f: 2.55937e-03
Iter: 9500, Loss: 5.99754e-02, Loss_0: 4.99889e-02, Loss_1: 7.43387e-03, Loss_b: 3.29496e-05, Loss_f: 2.51975e-03
Iter: 9600, Loss: 5.98188e-02, Loss_0: 4.99854e-02, Loss_1: 7.34938e-03, Loss_b: 2.74035e-05, Loss_f: 2.45658e-03
Iter: 9700, Loss: 5.96648e-02, Loss_0: 4.99848e-02, Loss_1: 7.28663e-03, Loss_b: 2.09445e-05, Loss_f: 2.37245e-03
Iter: 9800, Loss: 5.94194e-02, Loss_0: 4.99848e-02, Loss_1: 7.20866e-03, Loss_b: 1.85438e-05, Loss_f: 2.20732e-03
Iter: 9900, Loss: 5.92059e-02, Loss_0: 4.99850e-02, Loss_1: 7.09214e-03, Loss_b: 2.13127e-05, Loss_f: 2.10751e-03
Iter: 10000, Loss: 5.90589e-02, Loss_0: 4.99849e-02, Loss_1: 7.03194e-03, Loss_b: 2.01039e-05, Loss_f: 2.02198e-03
Iter: 10100, Loss: 5.89334e-02, Loss_0: 4.99848e-02, Loss_1: 6.93931e-03, Loss_b: 1.96295e-05, Loss_f: 1.98973e-03
Iter: 10200, Loss: 5.88052e-02, Loss_0: 4.99844e-02, Loss_1: 6.86707e-03, Loss_b: 1.97675e-05, Loss_f: 1.93388e-03
Iter: 10300, Loss: 5.86722e-02, Loss_0: 4.99868e-02, Loss_1: 6.82822e-03, Loss_b: 1.52979e-05, Loss_f: 1.84182e-03
Iter: 10400, Loss: 5.85820e-02, Loss_0: 4.99865e-02, Loss_1: 6.76607e-03, Loss_b: 1.38812e-05, Loss_f: 1.81554e-03
Iter: 10500, Loss: 5.85270e-02, Loss_0: 4.99839e-02, Loss_1: 6.75224e-03, Loss_b: 1.29828e-05, Loss_f: 1.77784e-03
Iter: 10600, Loss: 5.83927e-02, Loss_0: 4.99833e-02, Loss_1: 6.64124e-03, Loss_b: 2.23169e-05, Loss_f: 1.74591e-03
Iter: 10700, Loss: 5.82772e-02, Loss_0: 4.99837e-02, Loss_1: 6.51583e-03, Loss_b: 1.52149e-05, Loss_f: 1.76243e-03
Iter: 10800, Loss: 5.81565e-02, Loss_0: 4.99836e-02, Loss_1: 6.44342e-03, Loss_b: 1.37287e-05, Loss_f: 1.71570e-03
Iter: 10900, Loss: 5.79979e-02, Loss_0: 4.99843e-02, Loss_1: 6.31239e-03, Loss_b: 1.31026e-05, Loss_f: 1.68812e-03
Iter: 11000, Loss: 5.78930e-02, Loss_0: 4.99856e-02, Loss_1: 6.26601e-03, Loss_b: 1.98549e-05, Loss_f: 1.62149e-03
Iter: 11100, Loss: 5.77942e-02, Loss_0: 4.99856e-02, Loss_1: 6.22397e-03, Loss_b: 1.65199e-05, Loss_f: 1.56806e-03
Iter: 11200, Loss: 5.77098e-02, Loss_0: 4.99857e-02, Loss_1: 6.17743e-03, Loss_b: 2.40365e-05, Loss_f: 1.52267e-03
Iter: 11300, Loss: 5.76185e-02, Loss_0: 4.99850e-02, Loss_1: 6.13129e-03, Loss_b: 2.84189e-05, Loss_f: 1.47373e-03
Iter: 11400, Loss: 5.75322e-02, Loss_0: 4.99842e-02, Loss_1: 6.08961e-03, Loss_b: 2.74279e-05, Loss_f: 1.43098e-03
Iter: 11500, Loss: 5.74410e-02, Loss_0: 4.99839e-02, Loss_1: 6.03381e-03, Loss_b: 2.26569e-05, Loss_f: 1.40066e-03
Iter: 11600, Loss: 5.73406e-02, Loss_0: 4.99829e-02, Loss_1: 5.94811e-03, Loss_b: 2.02569e-05, Loss_f: 1.38937e-03
Iter: 11700, Loss: 5.72679e-02, Loss_0: 4.99830e-02, Loss_1: 5.88329e-03, Loss_b: 2.14799e-05, Loss_f: 1.38012e-03
Iter: 11800, Loss: 5.71960e-02, Loss_0: 4.99829e-02, Loss_1: 5.81846e-03, Loss_b: 2.44546e-05, Loss_f: 1.37018e-03
Iter: 11900, Loss: 5.70943e-02, Loss_0: 4.99848e-02, Loss_1: 5.70752e-03, Loss_b: 2.11465e-05, Loss_f: 1.38079e-03
Iter: 12000, Loss: 5.70404e-02, Loss_0: 4.99839e-02, Loss_1: 5.65616e-03, Loss_b: 2.80571e-05, Loss_f: 1.37229e-03
Iter: 12100, Loss: 5.69613e-02, Loss_0: 4.99841e-02, Loss_1: 5.60009e-03, Loss_b: 2.16085e-05, Loss_f: 1.35552e-03
Iter: 12200, Loss: 5.68619e-02, Loss_0: 4.99842e-02, Loss_1: 5.50776e-03, Loss_b: 2.68461e-05, Loss_f: 1.34309e-03
Iter: 12300, Loss: 5.67434e-02, Loss_0: 4.99840e-02, Loss_1: 5.42333e-03, Loss_b: 2.38204e-05, Loss_f: 1.31224e-03
Iter: 12400, Loss: 5.66721e-02, Loss_0: 4.99852e-02, Loss_1: 5.35391e-03, Loss_b: 2.76744e-05, Loss_f: 1.30530e-03
Iter: 12500, Loss: 5.65799e-02, Loss_0: 4.99841e-02, Loss_1: 5.24995e-03, Loss_b: 3.45543e-05, Loss_f: 1.31128e-03
Iter: 12600, Loss: 5.64903e-02, Loss_0: 4.99839e-02, Loss_1: 5.15194e-03, Loss_b: 3.78212e-05, Loss_f: 1.31666e-03
Iter: 12700, Loss: 5.64153e-02, Loss_0: 4.99833e-02, Loss_1: 5.04680e-03, Loss_b: 4.63828e-05, Loss_f: 1.33878e-03
Iter: 12800, Loss: 5.63570e-02, Loss_0: 4.99829e-02, Loss_1: 4.99484e-03, Loss_b: 4.92816e-05, Loss_f: 1.32999e-03
Iter: 12900, Loss: 5.63022e-02, Loss_0: 4.99833e-02, Loss_1: 4.95716e-03, Loss_b: 4.91529e-05, Loss_f: 1.31262e-03
Training time: 6172.9293
