Start Training:
Iter: 9800, Loss: 1.58001e+00, Loss_0: 1.56715e+00, Loss_1: 1.12140e-02, Loss_b: 2.18440e-05, Loss_f: 1.62620e-03
Iter: 9900, Loss: 1.58014e+00, Loss_0: 1.56715e+00, Loss_1: 1.11069e-02, Loss_b: 8.60353e-06, Loss_f: 1.87372e-03
Iter: 10000, Loss: 1.58585e+00, Loss_0: 1.56715e+00, Loss_1: 1.10284e-02, Loss_b: 4.90603e-06, Loss_f: 7.66788e-03
Iter: 10100, Loss: 1.57848e+00, Loss_0: 1.56715e+00, Loss_1: 9.43407e-03, Loss_b: 5.37815e-06, Loss_f: 1.88814e-03
Iter: 10200, Loss: 1.57717e+00, Loss_0: 1.56715e+00, Loss_1: 8.20279e-03, Loss_b: 3.54986e-06, Loss_f: 1.81241e-03
Iter: 10300, Loss: 1.57616e+00, Loss_0: 1.56715e+00, Loss_1: 7.49951e-03, Loss_b: 5.58694e-06, Loss_f: 1.50531e-03
Iter: 10400, Loss: 1.57537e+00, Loss_0: 1.56715e+00, Loss_1: 6.91625e-03, Loss_b: 7.85606e-06, Loss_f: 1.29712e-03
Iter: 10500, Loss: 1.57479e+00, Loss_0: 1.56715e+00, Loss_1: 6.41681e-03, Loss_b: 2.57313e-06, Loss_f: 1.21452e-03
Iter: 10600, Loss: 1.57422e+00, Loss_0: 1.56715e+00, Loss_1: 5.81496e-03, Loss_b: 3.61844e-06, Loss_f: 1.25366e-03
Iter: 10700, Loss: 1.57375e+00, Loss_0: 1.56715e+00, Loss_1: 5.39206e-03, Loss_b: 1.88764e-06, Loss_f: 1.20624e-03
Iter: 10800, Loss: 1.57335e+00, Loss_0: 1.56715e+00, Loss_1: 5.04867e-03, Loss_b: 8.01105e-07, Loss_f: 1.14533e-03
Iter: 10900, Loss: 1.57302e+00, Loss_0: 1.56715e+00, Loss_1: 4.76836e-03, Loss_b: 5.10820e-07, Loss_f: 1.09766e-03
Iter: 11000, Loss: 1.57269e+00, Loss_0: 1.56715e+00, Loss_1: 4.51225e-03, Loss_b: 3.62217e-07, Loss_f: 1.02750e-03
Iter: 11100, Loss: 1.57238e+00, Loss_0: 1.56715e+00, Loss_1: 4.24848e-03, Loss_b: 6.76459e-07, Loss_f: 9.79557e-04
Iter: 11200, Loss: 1.57213e+00, Loss_0: 1.56715e+00, Loss_1: 4.02199e-03, Loss_b: 1.57451e-06, Loss_f: 9.52189e-04
Iter: 11300, Loss: 1.57190e+00, Loss_0: 1.56715e+00, Loss_1: 3.81620e-03, Loss_b: 1.44218e-06, Loss_f: 9.34019e-04
Iter: 11400, Loss: 1.57167e+00, Loss_0: 1.56715e+00, Loss_1: 3.61482e-03, Loss_b: 5.24763e-07, Loss_f: 8.99904e-04
Iter: 11500, Loss: 1.57142e+00, Loss_0: 1.56715e+00, Loss_1: 3.41154e-03, Loss_b: 7.81919e-07, Loss_f: 8.61048e-04
Iter: 11600, Loss: 1.57117e+00, Loss_0: 1.56715e+00, Loss_1: 3.21859e-03, Loss_b: 6.96254e-07, Loss_f: 7.97905e-04
Iter: 11700, Loss: 1.57099e+00, Loss_0: 1.56715e+00, Loss_1: 3.05643e-03, Loss_b: 8.42342e-07, Loss_f: 7.76691e-04
Iter: 11800, Loss: 1.57082e+00, Loss_0: 1.56715e+00, Loss_1: 2.94173e-03, Loss_b: 1.70547e-06, Loss_f: 7.25478e-04
Iter: 11900, Loss: 1.57068e+00, Loss_0: 1.56715e+00, Loss_1: 2.84697e-03, Loss_b: 1.61656e-06, Loss_f: 6.78831e-04
Iter: 12000, Loss: 1.57056e+00, Loss_0: 1.56715e+00, Loss_1: 2.72227e-03, Loss_b: 6.71698e-07, Loss_f: 6.81958e-04
Iter: 12100, Loss: 1.57045e+00, Loss_0: 1.56715e+00, Loss_1: 2.65493e-03, Loss_b: 4.71054e-07, Loss_f: 6.43321e-04
Iter: 12200, Loss: 1.57035e+00, Loss_0: 1.56715e+00, Loss_1: 2.57032e-03, Loss_b: 4.36082e-07, Loss_f: 6.23061e-04
Iter: 12300, Loss: 1.57023e+00, Loss_0: 1.56715e+00, Loss_1: 2.45321e-03, Loss_b: 4.65165e-07, Loss_f: 6.28133e-04
Iter: 12400, Loss: 1.57013e+00, Loss_0: 1.56715e+00, Loss_1: 2.37156e-03, Loss_b: 3.32619e-07, Loss_f: 6.02617e-04
Iter: 12500, Loss: 1.57002e+00, Loss_0: 1.56715e+00, Loss_1: 2.29198e-03, Loss_b: 5.09962e-07, Loss_f: 5.81178e-04
Iter: 12600, Loss: 1.56993e+00, Loss_0: 1.56715e+00, Loss_1: 2.20841e-03, Loss_b: 4.63056e-07, Loss_f: 5.66487e-04
Training time: 8032.7736
