Start Training:
Iter: 6100, Loss: 7.89539e+00, Loss0: 7.57896e-01, Loss_b: 2.47274e-05, Loss_f: 7.13747e+00, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 9.04830e-01, Loss0: 8.29356e-01, Loss_b: 1.26971e-04, Loss_f: 7.53471e-02, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 1.61851e+00, Loss0: 1.33936e+00, Loss_b: 9.83828e-04, Loss_f: 2.78167e-01, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 9.60741e-01, Loss0: 8.82807e-01, Loss_b: 9.11857e-05, Loss_f: 7.78432e-02, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 2.51434e+00, Loss0: 9.72663e-01, Loss_b: 1.09629e-04, Loss_f: 1.54157e+00, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 8.48892e-01, Loss0: 7.71964e-01, Loss_b: 9.51225e-05, Loss_f: 7.68324e-02, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 1.21033e+00, Loss0: 1.08172e+00, Loss_b: 5.09242e-05, Loss_f: 1.28558e-01, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 8.23579e-01, Loss0: 7.43464e-01, Loss_b: 1.05137e-04, Loss_f: 8.00109e-02, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 9.08036e-01, Loss0: 8.29085e-01, Loss_b: 2.62789e-05, Loss_f: 7.89245e-02, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 1.57937e+00, Loss0: 8.16509e-01, Loss_b: 6.84458e-04, Loss_f: 7.62178e-01, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 7.88332e-01, Loss0: 7.08048e-01, Loss_b: 1.14471e-04, Loss_f: 8.01695e-02, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 7.95981e-01, Loss0: 7.21833e-01, Loss_b: 1.08987e-04, Loss_f: 7.40391e-02, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 9.13444e-01, Loss0: 8.18897e-01, Loss_b: 1.73272e-05, Loss_f: 9.45291e-02, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 3.61198e+00, Loss0: 8.09485e-01, Loss_b: 5.81259e-04, Loss_f: 2.80192e+00, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 8.32223e-01, Loss0: 7.59300e-01, Loss_b: 7.23026e-05, Loss_f: 7.28501e-02, Loss_prev: 0.00000e+00
