Start Training:
Iter: 6600, Loss: 1.13475e+00, Loss_0: 1.07030e+00, Loss_b: 2.47525e-04, Loss_f: 6.42031e-02
Iter: 6700, Loss: 1.18293e+00, Loss_0: 7.10071e-01, Loss_b: 2.09569e-04, Loss_f: 4.72654e-01
Iter: 6800, Loss: 9.65030e-01, Loss_0: 7.91899e-01, Loss_b: 1.15988e-03, Loss_f: 1.71971e-01
Iter: 6900, Loss: 9.53988e-01, Loss_0: 8.67385e-01, Loss_b: 9.49071e-04, Loss_f: 8.56537e-02
Iter: 7000, Loss: 2.51594e+00, Loss_0: 1.56242e+00, Loss_b: 4.19314e-04, Loss_f: 9.53096e-01
Iter: 7100, Loss: 9.44463e-01, Loss_0: 8.77698e-01, Loss_b: 1.64843e-04, Loss_f: 6.65999e-02
Iter: 7200, Loss: 3.17388e+00, Loss_0: 1.58108e+00, Loss_b: 2.34505e-03, Loss_f: 1.59045e+00
Iter: 7300, Loss: 1.01405e+00, Loss_0: 9.53505e-01, Loss_b: 1.79268e-04, Loss_f: 6.03670e-02
Iter: 7400, Loss: 4.36966e+00, Loss_0: 1.15210e+00, Loss_b: 1.75709e-02, Loss_f: 3.19999e+00
Iter: 7500, Loss: 1.01167e+00, Loss_0: 9.28743e-01, Loss_b: 2.87721e-04, Loss_f: 8.26400e-02
Iter: 7600, Loss: 1.47926e+00, Loss_0: 1.11996e+00, Loss_b: 9.19095e-03, Loss_f: 3.50112e-01
Iter: 7700, Loss: 7.81650e-01, Loss_0: 6.97948e-01, Loss_b: 1.22692e-04, Loss_f: 8.35796e-02
Iter: 7800, Loss: 9.14592e-01, Loss_0: 8.52972e-01, Loss_b: 1.32076e-04, Loss_f: 6.14877e-02
Iter: 7900, Loss: 1.27777e+00, Loss_0: 9.66113e-01, Loss_b: 4.26030e-04, Loss_f: 3.11233e-01
Iter: 8000, Loss: 7.04758e-01, Loss_0: 6.21271e-01, Loss_b: 6.43007e-05, Loss_f: 8.34226e-02
Iter: 8100, Loss: 9.85247e-01, Loss_0: 9.27226e-01, Loss_b: 1.90534e-04, Loss_f: 5.78303e-02
Iter: 8200, Loss: 7.43015e-01, Loss_0: 5.64893e-01, Loss_b: 4.59404e-05, Loss_f: 1.78076e-01
Iter: 8300, Loss: 8.81160e-01, Loss_0: 8.19916e-01, Loss_b: 1.71212e-04, Loss_f: 6.10728e-02
Iter: 8400, Loss: 7.00933e-01, Loss_0: 6.00875e-01, Loss_b: 1.12499e-04, Loss_f: 9.99454e-02
Iter: 8500, Loss: 6.37555e-01, Loss_0: 5.70835e-01, Loss_b: 1.01077e-04, Loss_f: 6.66181e-02
Iter: 8600, Loss: 7.43693e-01, Loss_0: 6.93216e-01, Loss_b: 1.38719e-04, Loss_f: 5.03382e-02
Iter: 8700, Loss: 1.03121e+00, Loss_0: 8.30422e-01, Loss_b: 4.38963e-04, Loss_f: 2.00354e-01
Iter: 8800, Loss: 5.91866e-01, Loss_0: 5.17540e-01, Loss_b: 6.88462e-05, Loss_f: 7.42582e-02
Iter: 8900, Loss: 8.36636e-01, Loss_0: 7.87355e-01, Loss_b: 1.88501e-04, Loss_f: 4.90924e-02
Iter: 9000, Loss: 9.54124e-01, Loss_0: 5.62008e-01, Loss_b: 2.51831e-04, Loss_f: 3.91864e-01
Iter: 9100, Loss: 8.36183e-01, Loss_0: 6.24073e-01, Loss_b: 1.60277e-03, Loss_f: 2.10507e-01
Iter: 9200, Loss: 1.13473e+00, Loss_0: 7.17071e-01, Loss_b: 6.10520e-03, Loss_f: 4.11557e-01
Iter: 9300, Loss: 5.51605e-01, Loss_0: 4.79705e-01, Loss_b: 6.93386e-05, Loss_f: 7.18305e-02
Iter: 9400, Loss: 1.98271e+00, Loss_0: 5.63236e-01, Loss_b: 3.12255e-03, Loss_f: 1.41635e+00
Iter: 9500, Loss: 4.72286e+00, Loss_0: 4.68037e-01, Loss_b: 2.47526e-04, Loss_f: 4.25457e+00
Iter: 9600, Loss: 9.60870e-01, Loss_0: 4.68690e-01, Loss_b: 1.75240e-04, Loss_f: 4.92004e-01
Iter: 9700, Loss: 6.81883e-01, Loss_0: 4.70616e-01, Loss_b: 8.13779e-05, Loss_f: 2.11186e-01
Iter: 9800, Loss: 5.17543e-01, Loss_0: 4.53960e-01, Loss_b: 4.47086e-05, Loss_f: 6.35386e-02
Iter: 9900, Loss: 6.18996e-01, Loss_0: 5.73607e-01, Loss_b: 9.06948e-05, Loss_f: 4.52979e-02
Iter: 10000, Loss: 9.93093e-01, Loss_0: 8.09910e-01, Loss_b: 1.80635e-04, Loss_f: 1.83003e-01
Iter: 10100, Loss: 3.87995e-01, Loss_0: 2.42675e-01, Loss_b: 7.09408e-05, Loss_f: 1.45249e-01
Iter: 10200, Loss: 2.81825e-01, Loss_0: 1.51557e-01, Loss_b: 6.87423e-05, Loss_f: 1.30200e-01
Iter: 10300, Loss: 2.14845e-01, Loss_0: 9.79451e-02, Loss_b: 8.99493e-05, Loss_f: 1.16810e-01
Iter: 10400, Loss: 1.75111e-01, Loss_0: 7.75528e-02, Loss_b: 1.09264e-04, Loss_f: 9.74485e-02
Iter: 10500, Loss: 1.46311e-01, Loss_0: 6.53153e-02, Loss_b: 1.51374e-04, Loss_f: 8.08444e-02
Iter: 10600, Loss: 1.19282e-01, Loss_0: 4.58660e-02, Loss_b: 3.97991e-04, Loss_f: 7.30182e-02
Iter: 10700, Loss: 1.04019e-01, Loss_0: 3.78788e-02, Loss_b: 2.70452e-05, Loss_f: 6.61130e-02
Iter: 10800, Loss: 9.45820e-02, Loss_0: 3.46998e-02, Loss_b: 5.05114e-06, Loss_f: 5.98771e-02
Iter: 10900, Loss: 8.63022e-02, Loss_0: 2.79466e-02, Loss_b: 2.25552e-04, Loss_f: 5.81301e-02
Iter: 11000, Loss: 7.69974e-02, Loss_0: 2.55288e-02, Loss_b: 2.15918e-04, Loss_f: 5.12527e-02
Iter: 11100, Loss: 7.19526e-02, Loss_0: 2.31148e-02, Loss_b: 5.99160e-05, Loss_f: 4.87779e-02
Iter: 11200, Loss: 6.62109e-02, Loss_0: 2.12531e-02, Loss_b: 8.71010e-06, Loss_f: 4.49491e-02
Iter: 11300, Loss: 6.19091e-02, Loss_0: 2.09460e-02, Loss_b: 3.07864e-06, Loss_f: 4.09600e-02
Iter: 11400, Loss: 5.77842e-02, Loss_0: 1.98313e-02, Loss_b: 7.16921e-05, Loss_f: 3.78812e-02
Iter: 11500, Loss: 5.37352e-02, Loss_0: 1.90317e-02, Loss_b: 1.33388e-05, Loss_f: 3.46901e-02
Iter: 11600, Loss: 5.04233e-02, Loss_0: 1.74905e-02, Loss_b: 6.02379e-06, Loss_f: 3.29268e-02
Iter: 11700, Loss: 4.67232e-02, Loss_0: 1.51450e-02, Loss_b: 1.06787e-04, Loss_f: 3.14715e-02
Iter: 11800, Loss: 4.19249e-02, Loss_0: 1.27070e-02, Loss_b: 7.01506e-05, Loss_f: 2.91477e-02
Iter: 11900, Loss: 3.88388e-02, Loss_0: 1.23861e-02, Loss_b: 1.40665e-06, Loss_f: 2.64513e-02
Iter: 12000, Loss: 3.61360e-02, Loss_0: 1.07314e-02, Loss_b: 2.19059e-06, Loss_f: 2.54024e-02
Iter: 12100, Loss: 3.28371e-02, Loss_0: 9.36262e-03, Loss_b: 2.87623e-05, Loss_f: 2.34457e-02
Iter: 12200, Loss: 3.02633e-02, Loss_0: 8.30933e-03, Loss_b: 8.86025e-06, Loss_f: 2.19451e-02
Iter: 12300, Loss: 2.87406e-02, Loss_0: 7.27501e-03, Loss_b: 4.79258e-06, Loss_f: 2.14608e-02
