Start Training:
Iter: 9900, Loss: 1.38167e+00, Loss_0: 8.33429e-01, Loss_1: 6.09435e-02, Loss_b: 7.80336e-04, Loss_f: 4.86521e-01
Iter: 10000, Loss: 8.93011e-01, Loss_0: 8.24973e-01, Loss_1: 5.63447e-02, Loss_b: 2.27974e-05, Loss_f: 1.16711e-02
Iter: 10100, Loss: 8.79569e-01, Loss_0: 8.16769e-01, Loss_1: 4.97278e-02, Loss_b: 3.93064e-06, Loss_f: 1.30689e-02
Iter: 10200, Loss: 8.73565e-01, Loss_0: 8.14599e-01, Loss_1: 4.54573e-02, Loss_b: 3.41599e-06, Loss_f: 1.35057e-02
Iter: 10300, Loss: 8.67301e-01, Loss_0: 8.11629e-01, Loss_1: 4.14204e-02, Loss_b: 1.09256e-05, Loss_f: 1.42401e-02
Iter: 10400, Loss: 8.62149e-01, Loss_0: 8.08876e-01, Loss_1: 3.90944e-02, Loss_b: 1.55114e-05, Loss_f: 1.41628e-02
Iter: 10500, Loss: 8.57882e-01, Loss_0: 8.06910e-01, Loss_1: 3.70247e-02, Loss_b: 1.54351e-06, Loss_f: 1.39462e-02
Iter: 10600, Loss: 8.53490e-01, Loss_0: 8.04409e-01, Loss_1: 3.53593e-02, Loss_b: 1.06553e-05, Loss_f: 1.37114e-02
Iter: 10700, Loss: 8.50398e-01, Loss_0: 8.02393e-01, Loss_1: 3.43271e-02, Loss_b: 4.60980e-06, Loss_f: 1.36737e-02
Iter: 10800, Loss: 8.45573e-01, Loss_0: 7.99524e-01, Loss_1: 3.27129e-02, Loss_b: 5.94309e-06, Loss_f: 1.33301e-02
Iter: 10900, Loss: 8.40666e-01, Loss_0: 7.96232e-01, Loss_1: 3.10204e-02, Loss_b: 1.20816e-05, Loss_f: 1.34016e-02
Iter: 11000, Loss: 8.36860e-01, Loss_0: 7.93643e-01, Loss_1: 2.97833e-02, Loss_b: 7.01963e-06, Loss_f: 1.34260e-02
Iter: 11100, Loss: 8.31995e-01, Loss_0: 7.90975e-01, Loss_1: 2.88190e-02, Loss_b: 1.21180e-06, Loss_f: 1.21997e-02
Iter: 11200, Loss: 8.27801e-01, Loss_0: 7.87432e-01, Loss_1: 2.77536e-02, Loss_b: 2.21898e-06, Loss_f: 1.26133e-02
Iter: 11300, Loss: 8.23189e-01, Loss_0: 7.84530e-01, Loss_1: 2.62765e-02, Loss_b: 1.69363e-06, Loss_f: 1.23807e-02
Iter: 11400, Loss: 8.20047e-01, Loss_0: 7.82076e-01, Loss_1: 2.52123e-02, Loss_b: 7.56655e-06, Loss_f: 1.27513e-02
Iter: 11500, Loss: 8.17116e-01, Loss_0: 7.80295e-01, Loss_1: 2.49161e-02, Loss_b: 4.61340e-06, Loss_f: 1.19008e-02
Iter: 11600, Loss: 8.15072e-01, Loss_0: 7.79525e-01, Loss_1: 2.45931e-02, Loss_b: 1.84149e-05, Loss_f: 1.09355e-02
Iter: 11700, Loss: 8.12479e-01, Loss_0: 7.77412e-01, Loss_1: 2.36797e-02, Loss_b: 5.50019e-06, Loss_f: 1.13811e-02
Iter: 11800, Loss: 8.10465e-01, Loss_0: 7.76398e-01, Loss_1: 2.32042e-02, Loss_b: 1.06490e-05, Loss_f: 1.08516e-02
Iter: 11900, Loss: 8.08530e-01, Loss_0: 7.75375e-01, Loss_1: 2.26504e-02, Loss_b: 6.00363e-06, Loss_f: 1.04992e-02
Iter: 12000, Loss: 8.06276e-01, Loss_0: 7.74256e-01, Loss_1: 2.20370e-02, Loss_b: 3.50279e-06, Loss_f: 9.97939e-03
Iter: 12100, Loss: 8.04158e-01, Loss_0: 7.73264e-01, Loss_1: 2.14294e-02, Loss_b: 1.78877e-06, Loss_f: 9.46326e-03
Iter: 12200, Loss: 8.02612e-01, Loss_0: 7.72723e-01, Loss_1: 2.08832e-02, Loss_b: 7.06627e-06, Loss_f: 8.99809e-03
Iter: 12300, Loss: 8.01190e-01, Loss_0: 7.72063e-01, Loss_1: 2.03552e-02, Loss_b: 1.48105e-06, Loss_f: 8.77104e-03
Iter: 12400, Loss: 7.99914e-01, Loss_0: 7.71517e-01, Loss_1: 1.98214e-02, Loss_b: 3.08013e-06, Loss_f: 8.57234e-03
Iter: 12500, Loss: 7.98650e-01, Loss_0: 7.71053e-01, Loss_1: 1.92218e-02, Loss_b: 2.29082e-06, Loss_f: 8.37287e-03
Iter: 12600, Loss: 7.97680e-01, Loss_0: 7.70563e-01, Loss_1: 1.90006e-02, Loss_b: 1.05394e-05, Loss_f: 8.10579e-03
Iter: 12700, Loss: 7.96770e-01, Loss_0: 7.70133e-01, Loss_1: 1.85016e-02, Loss_b: 1.78412e-06, Loss_f: 8.13405e-03
Iter: 12800, Loss: 7.95852e-01, Loss_0: 7.69664e-01, Loss_1: 1.80106e-02, Loss_b: 2.41863e-06, Loss_f: 8.17510e-03
Iter: 12900, Loss: 7.94937e-01, Loss_0: 7.69265e-01, Loss_1: 1.76217e-02, Loss_b: 3.56520e-06, Loss_f: 8.04679e-03
Iter: 13000, Loss: 7.93894e-01, Loss_0: 7.68700e-01, Loss_1: 1.73898e-02, Loss_b: 2.49383e-06, Loss_f: 7.80172e-03
Iter: 13100, Loss: 7.92880e-01, Loss_0: 7.68209e-01, Loss_1: 1.71531e-02, Loss_b: 2.60796e-06, Loss_f: 7.51504e-03
Iter: 13200, Loss: 7.91959e-01, Loss_0: 7.67688e-01, Loss_1: 1.67198e-02, Loss_b: 8.76532e-06, Loss_f: 7.54268e-03
