Start Training:
Iter: 7000, Loss: 4.22665e-05, Loss_0: 9.68180e-07, Loss_b: 1.41556e-05, Loss_f: 1.32779e-05, Loss_s: 1.38648e-05
Iter: 7100, Loss: 4.14155e-05, Loss_0: 8.55917e-07, Loss_b: 1.40459e-05, Loss_f: 1.27377e-05, Loss_s: 1.37760e-05
Iter: 7200, Loss: 4.00619e-05, Loss_0: 9.40390e-07, Loss_b: 1.32561e-05, Loss_f: 1.19493e-05, Loss_s: 1.39161e-05
Iter: 7300, Loss: 3.92958e-05, Loss_0: 1.04111e-06, Loss_b: 1.30249e-05, Loss_f: 1.13948e-05, Loss_s: 1.38350e-05
Iter: 7400, Loss: 3.81997e-05, Loss_0: 9.89532e-07, Loss_b: 1.33653e-05, Loss_f: 1.05446e-05, Loss_s: 1.33003e-05
Iter: 7500, Loss: 3.74185e-05, Loss_0: 1.09432e-06, Loss_b: 1.27496e-05, Loss_f: 1.05103e-05, Loss_s: 1.30643e-05
Iter: 7600, Loss: 3.67765e-05, Loss_0: 1.04778e-06, Loss_b: 1.23407e-05, Loss_f: 1.06157e-05, Loss_s: 1.27723e-05
Iter: 7700, Loss: 3.61604e-05, Loss_0: 9.80468e-07, Loss_b: 1.24209e-05, Loss_f: 1.05694e-05, Loss_s: 1.21896e-05
Iter: 7800, Loss: 3.52631e-05, Loss_0: 8.92780e-07, Loss_b: 1.19826e-05, Loss_f: 1.02543e-05, Loss_s: 1.21334e-05
Iter: 7900, Loss: 3.42239e-05, Loss_0: 8.12820e-07, Loss_b: 1.16395e-05, Loss_f: 1.02872e-05, Loss_s: 1.14843e-05
Iter: 8000, Loss: 3.33290e-05, Loss_0: 7.97094e-07, Loss_b: 1.11132e-05, Loss_f: 1.04534e-05, Loss_s: 1.09653e-05
Iter: 8100, Loss: 3.24876e-05, Loss_0: 7.76355e-07, Loss_b: 1.09410e-05, Loss_f: 1.04542e-05, Loss_s: 1.03160e-05
Iter: 8200, Loss: 3.19767e-05, Loss_0: 7.34038e-07, Loss_b: 1.08478e-05, Loss_f: 1.04576e-05, Loss_s: 9.93716e-06
Iter: 8300, Loss: 3.12342e-05, Loss_0: 7.09271e-07, Loss_b: 1.06183e-05, Loss_f: 1.02943e-05, Loss_s: 9.61235e-06
Iter: 8400, Loss: 3.03370e-05, Loss_0: 7.08067e-07, Loss_b: 1.00030e-05, Loss_f: 1.08063e-05, Loss_s: 8.81964e-06
Iter: 8500, Loss: 2.95254e-05, Loss_0: 6.39103e-07, Loss_b: 9.71747e-06, Loss_f: 1.05061e-05, Loss_s: 8.66281e-06
Iter: 8600, Loss: 2.86322e-05, Loss_0: 6.07899e-07, Loss_b: 9.01791e-06, Loss_f: 1.03707e-05, Loss_s: 8.63561e-06
Iter: 8700, Loss: 2.80686e-05, Loss_0: 6.72614e-07, Loss_b: 8.92087e-06, Loss_f: 9.99543e-06, Loss_s: 8.47966e-06
Iter: 8800, Loss: 2.74137e-05, Loss_0: 8.48282e-07, Loss_b: 8.70536e-06, Loss_f: 9.99651e-06, Loss_s: 7.86354e-06
Iter: 8900, Loss: 2.67004e-05, Loss_0: 7.83045e-07, Loss_b: 8.77220e-06, Loss_f: 9.53867e-06, Loss_s: 7.60648e-06
Iter: 9000, Loss: 2.59191e-05, Loss_0: 7.24628e-07, Loss_b: 8.64232e-06, Loss_f: 9.26269e-06, Loss_s: 7.28942e-06
Iter: 9100, Loss: 2.51057e-05, Loss_0: 7.34122e-07, Loss_b: 8.11777e-06, Loss_f: 8.99211e-06, Loss_s: 7.26166e-06
Iter: 9200, Loss: 2.43777e-05, Loss_0: 7.85859e-07, Loss_b: 7.78664e-06, Loss_f: 8.58827e-06, Loss_s: 7.21695e-06
Iter: 9300, Loss: 2.35206e-05, Loss_0: 8.39813e-07, Loss_b: 7.51398e-06, Loss_f: 8.23997e-06, Loss_s: 6.92685e-06
Iter: 9400, Loss: 2.21649e-05, Loss_0: 8.24269e-07, Loss_b: 7.73732e-06, Loss_f: 7.68820e-06, Loss_s: 5.91509e-06
Iter: 9500, Loss: 2.09433e-05, Loss_0: 7.33474e-07, Loss_b: 7.49539e-06, Loss_f: 7.53057e-06, Loss_s: 5.18385e-06
Iter: 9600, Loss: 2.00565e-05, Loss_0: 6.52463e-07, Loss_b: 7.31158e-06, Loss_f: 7.11950e-06, Loss_s: 4.97299e-06
Iter: 9700, Loss: 1.90449e-05, Loss_0: 6.55799e-07, Loss_b: 6.84654e-06, Loss_f: 6.68230e-06, Loss_s: 4.86022e-06
Iter: 9800, Loss: 1.83387e-05, Loss_0: 6.00284e-07, Loss_b: 6.64718e-06, Loss_f: 6.35867e-06, Loss_s: 4.73257e-06
Iter: 9900, Loss: 1.74028e-05, Loss_0: 5.52951e-07, Loss_b: 6.48195e-06, Loss_f: 5.69684e-06, Loss_s: 4.67106e-06
Iter: 10000, Loss: 1.65865e-05, Loss_0: 5.61940e-07, Loss_b: 6.35907e-06, Loss_f: 5.06411e-06, Loss_s: 4.60134e-06
Iter: 10100, Loss: 1.57905e-05, Loss_0: 5.50737e-07, Loss_b: 6.17265e-06, Loss_f: 4.66220e-06, Loss_s: 4.40491e-06
Iter: 10200, Loss: 1.49314e-05, Loss_0: 5.32656e-07, Loss_b: 5.97800e-06, Loss_f: 4.24242e-06, Loss_s: 4.17835e-06
Iter: 10300, Loss: 1.40793e-05, Loss_0: 4.90953e-07, Loss_b: 5.67587e-06, Loss_f: 3.90387e-06, Loss_s: 4.00859e-06
Iter: 10400, Loss: 1.33496e-05, Loss_0: 4.40251e-07, Loss_b: 5.41353e-06, Loss_f: 3.69807e-06, Loss_s: 3.79778e-06
Iter: 10500, Loss: 1.27318e-05, Loss_0: 4.10628e-07, Loss_b: 5.03296e-06, Loss_f: 3.61084e-06, Loss_s: 3.67736e-06
Iter: 10600, Loss: 1.17715e-05, Loss_0: 4.27960e-07, Loss_b: 4.54474e-06, Loss_f: 3.31259e-06, Loss_s: 3.48618e-06
Iter: 10700, Loss: 1.10406e-05, Loss_0: 3.50390e-07, Loss_b: 4.41505e-06, Loss_f: 2.80860e-06, Loss_s: 3.46658e-06
Iter: 10800, Loss: 1.04221e-05, Loss_0: 3.47139e-07, Loss_b: 4.13593e-06, Loss_f: 2.66339e-06, Loss_s: 3.27568e-06
Iter: 10900, Loss: 9.85038e-06, Loss_0: 3.84649e-07, Loss_b: 3.78518e-06, Loss_f: 2.47149e-06, Loss_s: 3.20907e-06
Iter: 11000, Loss: 9.39753e-06, Loss_0: 3.37290e-07, Loss_b: 3.57313e-06, Loss_f: 2.35859e-06, Loss_s: 3.12853e-06
Iter: 11100, Loss: 8.83694e-06, Loss_0: 3.07636e-07, Loss_b: 3.14744e-06, Loss_f: 2.34476e-06, Loss_s: 3.03711e-06
Iter: 11200, Loss: 8.39517e-06, Loss_0: 2.89570e-07, Loss_b: 2.80396e-06, Loss_f: 2.32076e-06, Loss_s: 2.98088e-06
Iter: 11300, Loss: 7.88552e-06, Loss_0: 2.60169e-07, Loss_b: 2.66208e-06, Loss_f: 2.12068e-06, Loss_s: 2.84259e-06
Iter: 11400, Loss: 7.39071e-06, Loss_0: 2.57049e-07, Loss_b: 2.35605e-06, Loss_f: 2.08233e-06, Loss_s: 2.69528e-06
Iter: 11500, Loss: 7.02614e-06, Loss_0: 2.40895e-07, Loss_b: 2.08771e-06, Loss_f: 2.09469e-06, Loss_s: 2.60285e-06
Iter: 11600, Loss: 6.61505e-06, Loss_0: 2.24877e-07, Loss_b: 1.87789e-06, Loss_f: 2.00255e-06, Loss_s: 2.50973e-06
Iter: 11700, Loss: 6.25442e-06, Loss_0: 2.30820e-07, Loss_b: 1.68064e-06, Loss_f: 1.92603e-06, Loss_s: 2.41693e-06
Iter: 11800, Loss: 5.94555e-06, Loss_0: 2.23520e-07, Loss_b: 1.48012e-06, Loss_f: 1.89114e-06, Loss_s: 2.35077e-06
Iter: 11900, Loss: 5.60127e-06, Loss_0: 2.19420e-07, Loss_b: 1.22306e-06, Loss_f: 1.82666e-06, Loss_s: 2.33213e-06
Iter: 12000, Loss: 5.32374e-06, Loss_0: 2.26377e-07, Loss_b: 1.06027e-06, Loss_f: 1.83910e-06, Loss_s: 2.19799e-06
Iter: 12100, Loss: 4.98829e-06, Loss_0: 2.11927e-07, Loss_b: 9.01308e-07, Loss_f: 1.83945e-06, Loss_s: 2.03561e-06
Iter: 12200, Loss: 4.67984e-06, Loss_0: 1.81583e-07, Loss_b: 7.24635e-07, Loss_f: 1.81788e-06, Loss_s: 1.95575e-06
Iter: 12300, Loss: 4.46213e-06, Loss_0: 1.72023e-07, Loss_b: 6.14656e-07, Loss_f: 1.80829e-06, Loss_s: 1.86716e-06
Iter: 12400, Loss: 4.27233e-06, Loss_0: 1.62160e-07, Loss_b: 5.44139e-07, Loss_f: 1.75775e-06, Loss_s: 1.80828e-06
Iter: 12500, Loss: 4.12286e-06, Loss_0: 1.52232e-07, Loss_b: 5.00165e-07, Loss_f: 1.71100e-06, Loss_s: 1.75946e-06
Iter: 12600, Loss: 3.96238e-06, Loss_0: 1.45645e-07, Loss_b: 4.61679e-07, Loss_f: 1.64323e-06, Loss_s: 1.71183e-06
Iter: 12700, Loss: 3.75509e-06, Loss_0: 1.54937e-07, Loss_b: 3.83690e-07, Loss_f: 1.57740e-06, Loss_s: 1.63906e-06
Iter: 12800, Loss: 3.57707e-06, Loss_0: 1.50607e-07, Loss_b: 3.24858e-07, Loss_f: 1.57287e-06, Loss_s: 1.52874e-06
Iter: 12900, Loss: 3.38021e-06, Loss_0: 1.36479e-07, Loss_b: 3.03768e-07, Loss_f: 1.50216e-06, Loss_s: 1.43781e-06
Iter: 13000, Loss: 3.21976e-06, Loss_0: 1.30304e-07, Loss_b: 2.91860e-07, Loss_f: 1.43880e-06, Loss_s: 1.35880e-06
Iter: 13100, Loss: 3.08197e-06, Loss_0: 1.31348e-07, Loss_b: 2.58124e-07, Loss_f: 1.38299e-06, Loss_s: 1.30951e-06
Iter: 13200, Loss: 2.92891e-06, Loss_0: 1.24345e-07, Loss_b: 1.90431e-07, Loss_f: 1.33873e-06, Loss_s: 1.27541e-06
Iter: 13300, Loss: 2.81001e-06, Loss_0: 1.27280e-07, Loss_b: 1.53349e-07, Loss_f: 1.29238e-06, Loss_s: 1.23700e-06
Iter: 13400, Loss: 2.69729e-06, Loss_0: 1.31799e-07, Loss_b: 1.35997e-07, Loss_f: 1.22220e-06, Loss_s: 1.20730e-06
Iter: 13500, Loss: 2.58799e-06, Loss_0: 1.17332e-07, Loss_b: 1.24893e-07, Loss_f: 1.15372e-06, Loss_s: 1.19205e-06
Iter: 13600, Loss: 2.47720e-06, Loss_0: 1.17814e-07, Loss_b: 9.84591e-08, Loss_f: 1.08818e-06, Loss_s: 1.17274e-06
Iter: 13700, Loss: 2.38259e-06, Loss_0: 1.18011e-07, Loss_b: 8.40514e-08, Loss_f: 1.03797e-06, Loss_s: 1.14256e-06
Iter: 13800, Loss: 2.29550e-06, Loss_0: 1.13274e-07, Loss_b: 8.11115e-08, Loss_f: 9.84344e-07, Loss_s: 1.11678e-06
Iter: 13900, Loss: 2.20135e-06, Loss_0: 1.23334e-07, Loss_b: 7.25398e-08, Loss_f: 9.21497e-07, Loss_s: 1.08398e-06
Iter: 14000, Loss: 2.13302e-06, Loss_0: 1.31577e-07, Loss_b: 6.81111e-08, Loss_f: 8.92925e-07, Loss_s: 1.04040e-06
Iter: 14100, Loss: 2.03671e-06, Loss_0: 1.25276e-07, Loss_b: 6.21444e-08, Loss_f: 8.46309e-07, Loss_s: 1.00298e-06
Training time: 730.1794
