Start Training:
Iter: 7200, Loss: 1.55902e-04, Loss0: 1.94468e-05, Loss_b: 1.13800e-05, Loss_f: 1.25076e-04, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 2.32786e-04, Loss0: 2.50801e-05, Loss_b: 1.12732e-06, Loss_f: 2.06578e-04, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 5.51355e-05, Loss0: 2.10042e-05, Loss_b: 1.43413e-06, Loss_f: 3.26971e-05, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 2.48417e-04, Loss0: 3.19094e-05, Loss_b: 9.28888e-05, Loss_f: 1.23619e-04, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 5.24363e-05, Loss0: 2.02474e-05, Loss_b: 2.85676e-06, Loss_f: 2.93321e-05, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 8.72013e-04, Loss0: 1.29856e-04, Loss_b: 4.16090e-04, Loss_f: 3.26068e-04, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 6.62307e-05, Loss0: 2.16869e-05, Loss_b: 1.45300e-05, Loss_f: 3.00138e-05, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 4.65229e-05, Loss0: 1.68381e-05, Loss_b: 2.02105e-06, Loss_f: 2.76637e-05, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 9.45866e-05, Loss0: 3.49034e-05, Loss_b: 6.30853e-06, Loss_f: 5.33747e-05, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 9.17515e-05, Loss0: 3.22163e-05, Loss_b: 1.74806e-05, Loss_f: 4.20546e-05, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 3.99703e-05, Loss0: 1.38061e-05, Loss_b: 1.10467e-07, Loss_f: 2.60537e-05, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 7.65991e-05, Loss0: 2.20890e-05, Loss_b: 7.84862e-06, Loss_f: 4.66615e-05, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 7.66726e-05, Loss0: 9.22159e-06, Loss_b: 8.40329e-06, Loss_f: 5.90477e-05, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 5.20117e-05, Loss0: 1.46765e-05, Loss_b: 9.50469e-06, Loss_f: 2.78305e-05, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 5.91213e-04, Loss0: 8.49222e-05, Loss_b: 2.85215e-04, Loss_f: 2.21076e-04, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 4.31741e-05, Loss0: 1.01181e-05, Loss_b: 5.13990e-07, Loss_f: 3.25420e-05, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 3.29267e-05, Loss0: 1.02624e-05, Loss_b: 6.31212e-08, Loss_f: 2.26012e-05, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 2.61664e-04, Loss0: 2.73364e-05, Loss_b: 1.02611e-04, Loss_f: 1.31717e-04, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 9.27688e-05, Loss0: 9.12686e-06, Loss_b: 1.92257e-05, Loss_f: 6.44162e-05, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 1.06719e-04, Loss0: 1.99696e-05, Loss_b: 2.04860e-05, Loss_f: 6.62631e-05, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 8.07612e-05, Loss0: 2.16817e-05, Loss_b: 1.28514e-05, Loss_f: 4.62280e-05, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 3.42157e-05, Loss0: 8.42447e-06, Loss_b: 2.87733e-06, Loss_f: 2.29139e-05, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 1.01737e-04, Loss0: 2.26427e-05, Loss_b: 2.05361e-05, Loss_f: 5.85577e-05, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 2.74068e-04, Loss0: 8.61489e-06, Loss_b: 4.02034e-05, Loss_f: 2.25250e-04, Loss_prev: 0.00000e+00
Iter: 9600, Loss: 4.10876e-05, Loss0: 1.39526e-05, Loss_b: 1.75915e-06, Loss_f: 2.53758e-05, Loss_prev: 0.00000e+00
Iter: 9700, Loss: 6.80885e-04, Loss0: 5.00128e-05, Loss_b: 1.10492e-04, Loss_f: 5.20380e-04, Loss_prev: 0.00000e+00
Iter: 9800, Loss: 2.73046e-05, Loss0: 9.44339e-06, Loss_b: 6.61261e-08, Loss_f: 1.77951e-05, Loss_prev: 0.00000e+00
Iter: 9900, Loss: 2.58988e-04, Loss0: 2.57792e-05, Loss_b: 4.68467e-05, Loss_f: 1.86362e-04, Loss_prev: 0.00000e+00
Iter: 10000, Loss: 5.28508e-05, Loss0: 9.66699e-06, Loss_b: 3.45517e-06, Loss_f: 3.97286e-05, Loss_prev: 0.00000e+00
Iter: 10100, Loss: 1.98562e-05, Loss0: 3.34526e-06, Loss_b: 1.52002e-07, Loss_f: 1.63590e-05, Loss_prev: 0.00000e+00
Iter: 10200, Loss: 1.11376e-05, Loss0: 9.71591e-07, Loss_b: 6.04599e-08, Loss_f: 1.01056e-05, Loss_prev: 0.00000e+00
Iter: 10300, Loss: 6.85762e-06, Loss0: 1.11385e-06, Loss_b: 3.50119e-08, Loss_f: 5.70876e-06, Loss_prev: 0.00000e+00
Iter: 10400, Loss: 4.68626e-06, Loss0: 5.90371e-07, Loss_b: 3.28194e-08, Loss_f: 4.06307e-06, Loss_prev: 0.00000e+00
Iter: 10500, Loss: 3.70514e-06, Loss0: 5.34122e-07, Loss_b: 5.85681e-08, Loss_f: 3.11245e-06, Loss_prev: 0.00000e+00
Iter: 10600, Loss: 2.83455e-06, Loss0: 1.72299e-07, Loss_b: 2.84240e-08, Loss_f: 2.63383e-06, Loss_prev: 0.00000e+00
Iter: 10700, Loss: 2.11894e-06, Loss0: 1.95759e-07, Loss_b: 2.37349e-08, Loss_f: 1.89944e-06, Loss_prev: 0.00000e+00
Iter: 10800, Loss: 1.87079e-06, Loss0: 2.05770e-07, Loss_b: 1.38175e-08, Loss_f: 1.65120e-06, Loss_prev: 0.00000e+00
Iter: 10900, Loss: 1.64048e-06, Loss0: 1.33362e-07, Loss_b: 1.59388e-08, Loss_f: 1.49118e-06, Loss_prev: 0.00000e+00
Iter: 11000, Loss: 1.41583e-06, Loss0: 1.14248e-07, Loss_b: 1.10686e-08, Loss_f: 1.29052e-06, Loss_prev: 0.00000e+00
Iter: 11100, Loss: 1.21918e-06, Loss0: 1.07546e-07, Loss_b: 5.58317e-10, Loss_f: 1.11107e-06, Loss_prev: 0.00000e+00
Iter: 11200, Loss: 1.05711e-06, Loss0: 7.83711e-08, Loss_b: 5.85156e-09, Loss_f: 9.72885e-07, Loss_prev: 0.00000e+00
Iter: 11300, Loss: 9.82647e-07, Loss0: 5.98113e-08, Loss_b: 8.34925e-09, Loss_f: 9.14486e-07, Loss_prev: 0.00000e+00
Iter: 11400, Loss: 9.15565e-07, Loss0: 4.84782e-08, Loss_b: 3.35407e-09, Loss_f: 8.63733e-07, Loss_prev: 0.00000e+00
Iter: 11500, Loss: 8.26111e-07, Loss0: 4.15154e-08, Loss_b: 8.80762e-10, Loss_f: 7.83715e-07, Loss_prev: 0.00000e+00
Iter: 11600, Loss: 7.41914e-07, Loss0: 3.40017e-08, Loss_b: 1.86463e-10, Loss_f: 7.07726e-07, Loss_prev: 0.00000e+00
Iter: 11700, Loss: 6.54814e-07, Loss0: 2.98185e-08, Loss_b: 1.62356e-09, Loss_f: 6.23372e-07, Loss_prev: 0.00000e+00
Iter: 11800, Loss: 5.73644e-07, Loss0: 1.74212e-08, Loss_b: 1.40281e-09, Loss_f: 5.54820e-07, Loss_prev: 0.00000e+00
Iter: 11900, Loss: 5.35391e-07, Loss0: 9.40414e-09, Loss_b: 7.75314e-10, Loss_f: 5.25212e-07, Loss_prev: 0.00000e+00
Training time: 1152.0367
