Start Training:
Iter: 7000, Loss: 4.61140e-05, Loss_0: 3.91490e-06, Loss_1: 8.79663e-06, Loss_b: 4.23682e-06, Loss_f: 2.91656e-05
Iter: 7100, Loss: 6.63790e-05, Loss_0: 4.55630e-06, Loss_1: 1.26297e-05, Loss_b: 9.93524e-06, Loss_f: 3.92578e-05
Iter: 7200, Loss: 1.19019e-04, Loss_0: 1.73872e-07, Loss_1: 1.55826e-05, Loss_b: 4.43308e-05, Loss_f: 5.89321e-05
Iter: 7300, Loss: 1.05407e-04, Loss_0: 5.65806e-06, Loss_1: 1.24954e-05, Loss_b: 2.24677e-05, Loss_f: 6.47862e-05
Iter: 7400, Loss: 1.42870e-04, Loss_0: 1.92189e-05, Loss_1: 2.25443e-05, Loss_b: 2.34486e-05, Loss_f: 7.76583e-05
Iter: 7500, Loss: 1.32271e-05, Loss_0: 1.60372e-07, Loss_1: 6.29101e-06, Loss_b: 7.39127e-09, Loss_f: 6.76828e-06
Iter: 7600, Loss: 1.58501e-04, Loss_0: 2.19820e-05, Loss_1: 1.11278e-05, Loss_b: 1.58088e-06, Loss_f: 1.23810e-04
Iter: 7700, Loss: 2.81850e-04, Loss_0: 3.14828e-05, Loss_1: 3.21027e-05, Loss_b: 1.22747e-04, Loss_f: 9.55173e-05
Iter: 7800, Loss: 7.07821e-05, Loss_0: 6.62131e-07, Loss_1: 1.04413e-05, Loss_b: 2.24603e-05, Loss_f: 3.72184e-05
Iter: 7900, Loss: 1.28302e-04, Loss_0: 1.91836e-05, Loss_1: 1.50088e-05, Loss_b: 2.96534e-05, Loss_f: 6.44559e-05
Iter: 8000, Loss: 1.84203e-04, Loss_0: 2.82682e-06, Loss_1: 1.64936e-05, Loss_b: 6.31582e-05, Loss_f: 1.01724e-04
Iter: 8100, Loss: 2.13974e-04, Loss_0: 3.17280e-05, Loss_1: 2.50648e-05, Loss_b: 2.36606e-06, Loss_f: 1.54815e-04
Iter: 8200, Loss: 9.21592e-05, Loss_0: 9.00337e-07, Loss_1: 1.53844e-05, Loss_b: 3.23140e-05, Loss_f: 4.35604e-05
Iter: 8300, Loss: 1.27793e-04, Loss_0: 2.93652e-06, Loss_1: 1.96208e-05, Loss_b: 6.66837e-05, Loss_f: 3.85524e-05
Iter: 8400, Loss: 1.87577e-05, Loss_0: 4.13639e-07, Loss_1: 6.82409e-06, Loss_b: 2.13878e-06, Loss_f: 9.38118e-06
Iter: 8500, Loss: 6.58784e-05, Loss_0: 5.28726e-06, Loss_1: 1.21643e-05, Loss_b: 7.88646e-06, Loss_f: 4.05403e-05
