Start Training:
Iter: 11100, Loss: 7.94109e-06, Loss_0: 3.97394e-06, Loss_1: 5.75785e-07, Loss_b: 1.01777e-06, Loss_f: 2.37360e-06
Iter: 11200, Loss: 9.41567e-07, Loss_0: 1.93414e-08, Loss_1: 2.51872e-07, Loss_b: 8.39207e-08, Loss_f: 5.86433e-07
Iter: 11300, Loss: 2.06618e-03, Loss_0: 1.60971e-04, Loss_1: 2.25184e-04, Loss_b: 1.59265e-03, Loss_f: 8.73759e-05
Iter: 11400, Loss: 8.89469e-07, Loss_0: 1.93187e-08, Loss_1: 2.67044e-07, Loss_b: 4.52104e-09, Loss_f: 5.98585e-07
Iter: 11500, Loss: 7.93176e-07, Loss_0: 1.82364e-08, Loss_1: 2.35687e-07, Loss_b: 5.41517e-09, Loss_f: 5.33837e-07
Iter: 11600, Loss: 7.44609e-06, Loss_0: 1.27645e-06, Loss_1: 1.90204e-06, Loss_b: 1.60034e-06, Loss_f: 2.66726e-06
Iter: 11700, Loss: 7.88545e-07, Loss_0: 1.82452e-08, Loss_1: 2.40898e-07, Loss_b: 4.34637e-09, Loss_f: 5.25055e-07
Iter: 11800, Loss: 9.22969e-05, Loss_0: 3.77230e-05, Loss_1: 1.03718e-05, Loss_b: 4.06121e-05, Loss_f: 3.58998e-06
Iter: 11900, Loss: 8.20524e-07, Loss_0: 1.90049e-08, Loss_1: 2.52042e-07, Loss_b: 5.36059e-09, Loss_f: 5.44116e-07
Iter: 12000, Loss: 7.58463e-07, Loss_0: 1.79529e-08, Loss_1: 2.26783e-07, Loss_b: 6.29829e-09, Loss_f: 5.07429e-07
Iter: 12100, Loss: 8.62510e-05, Loss_0: 5.15631e-05, Loss_1: 1.10756e-05, Loss_b: 9.75379e-06, Loss_f: 1.38586e-05
Iter: 12200, Loss: 7.93303e-07, Loss_0: 1.73061e-08, Loss_1: 2.56846e-07, Loss_b: 2.88907e-09, Loss_f: 5.16262e-07
Iter: 12300, Loss: 7.02878e-07, Loss_0: 1.76211e-08, Loss_1: 2.16465e-07, Loss_b: 3.52381e-09, Loss_f: 4.65269e-07
Iter: 12400, Loss: 3.76483e-06, Loss_0: 3.27424e-08, Loss_1: 5.99490e-07, Loss_b: 2.13722e-06, Loss_f: 9.95381e-07
Iter: 12500, Loss: 8.02451e-07, Loss_0: 2.37233e-08, Loss_1: 2.38284e-07, Loss_b: 7.61865e-09, Loss_f: 5.32825e-07
Iter: 12600, Loss: 7.54348e-07, Loss_0: 2.02111e-08, Loss_1: 2.21317e-07, Loss_b: 7.80051e-09, Loss_f: 5.05019e-07
Iter: 12700, Loss: 1.36581e-06, Loss_0: 3.91682e-08, Loss_1: 3.26154e-07, Loss_b: 2.34016e-07, Loss_f: 7.66476e-07
Iter: 12800, Loss: 9.22338e-07, Loss_0: 2.62744e-08, Loss_1: 2.97755e-07, Loss_b: 8.29523e-08, Loss_f: 5.15356e-07
Iter: 12900, Loss: 7.08213e-07, Loss_0: 1.79281e-08, Loss_1: 2.19966e-07, Loss_b: 5.89784e-09, Loss_f: 4.64422e-07
Iter: 13000, Loss: 6.21530e-06, Loss_0: 9.83572e-08, Loss_1: 1.24958e-06, Loss_b: 4.03805e-06, Loss_f: 8.29315e-07
Iter: 13100, Loss: 7.36914e-07, Loss_0: 1.83612e-08, Loss_1: 2.25662e-07, Loss_b: 5.92917e-09, Loss_f: 4.86962e-07
Iter: 13200, Loss: 9.05606e-04, Loss_0: 1.13757e-04, Loss_1: 1.02815e-04, Loss_b: 6.41784e-04, Loss_f: 4.72503e-05
Iter: 13300, Loss: 7.77974e-07, Loss_0: 2.94173e-08, Loss_1: 2.47368e-07, Loss_b: 7.40190e-09, Loss_f: 4.93787e-07
Iter: 13400, Loss: 2.65980e-04, Loss_0: 5.62711e-05, Loss_1: 2.42415e-05, Loss_b: 1.62907e-04, Loss_f: 2.25602e-05
Iter: 13500, Loss: 7.42803e-07, Loss_0: 1.88323e-08, Loss_1: 2.21838e-07, Loss_b: 2.64390e-08, Loss_f: 4.75693e-07
Iter: 13600, Loss: 6.66834e-07, Loss_0: 1.79588e-08, Loss_1: 2.03826e-07, Loss_b: 5.66823e-09, Loss_f: 4.39381e-07
Iter: 13700, Loss: 6.66601e-06, Loss_0: 4.85326e-07, Loss_1: 3.48666e-06, Loss_b: 5.01986e-07, Loss_f: 2.19204e-06
Iter: 13800, Loss: 8.37244e-07, Loss_0: 1.86297e-08, Loss_1: 2.89577e-07, Loss_b: 7.23998e-09, Loss_f: 5.21797e-07
Iter: 13900, Loss: 7.63466e-07, Loss_0: 3.39253e-08, Loss_1: 2.36875e-07, Loss_b: 3.88793e-08, Loss_f: 4.53786e-07
Iter: 14000, Loss: 8.62876e-07, Loss_0: 8.89227e-08, Loss_1: 2.36399e-07, Loss_b: 1.32151e-08, Loss_f: 5.24340e-07
Iter: 14100, Loss: 6.91125e-07, Loss_0: 1.86381e-08, Loss_1: 2.03226e-07, Loss_b: 5.35034e-09, Loss_f: 4.63910e-07
Iter: 14200, Loss: 1.11682e-05, Loss_0: 6.29436e-07, Loss_1: 1.84709e-06, Loss_b: 7.73688e-06, Loss_f: 9.54822e-07
Iter: 14300, Loss: 1.33000e-06, Loss_0: 5.65349e-07, Loss_1: 2.20142e-07, Loss_b: 2.13785e-08, Loss_f: 5.23128e-07
Iter: 14400, Loss: 6.58243e-07, Loss_0: 2.15368e-08, Loss_1: 1.94444e-07, Loss_b: 2.51129e-08, Loss_f: 4.17150e-07
Iter: 14500, Loss: 8.56146e-07, Loss_0: 1.98349e-08, Loss_1: 2.37734e-07, Loss_b: 9.06486e-08, Loss_f: 5.07928e-07
Iter: 14600, Loss: 6.17153e-07, Loss_0: 1.93640e-08, Loss_1: 1.90450e-07, Loss_b: 3.82152e-09, Loss_f: 4.03517e-07
Iter: 14700, Loss: 1.16281e-04, Loss_0: 8.87694e-05, Loss_1: 8.76133e-06, Loss_b: 1.26672e-05, Loss_f: 6.08342e-06
Iter: 14800, Loss: 6.14822e-07, Loss_0: 2.65618e-08, Loss_1: 1.86876e-07, Loss_b: 5.90430e-09, Loss_f: 3.95481e-07
Iter: 14900, Loss: 5.75274e-07, Loss_0: 2.32894e-08, Loss_1: 1.73827e-07, Loss_b: 4.22874e-09, Loss_f: 3.73930e-07
Iter: 15000, Loss: 1.28779e-04, Loss_0: 3.21467e-07, Loss_1: 2.11270e-05, Loss_b: 9.75030e-05, Loss_f: 9.82783e-06
Iter: 15100, Loss: 6.39833e-07, Loss_0: 1.77165e-08, Loss_1: 2.02814e-07, Loss_b: 3.40033e-09, Loss_f: 4.15903e-07
Iter: 15200, Loss: 5.90430e-07, Loss_0: 1.69179e-08, Loss_1: 1.83669e-07, Loss_b: 4.55741e-09, Loss_f: 3.85286e-07
Iter: 15300, Loss: 6.47538e-06, Loss_0: 5.42431e-07, Loss_1: 9.12821e-07, Loss_b: 2.14826e-06, Loss_f: 2.87186e-06
Iter: 15400, Loss: 6.11107e-07, Loss_0: 1.89711e-08, Loss_1: 1.88772e-07, Loss_b: 3.26858e-09, Loss_f: 4.00096e-07
Iter: 15500, Loss: 1.40363e-04, Loss_0: 1.94852e-05, Loss_1: 1.80143e-05, Loss_b: 9.69820e-05, Loss_f: 5.88120e-06
Iter: 15600, Loss: 6.30628e-07, Loss_0: 3.86681e-08, Loss_1: 2.06776e-07, Loss_b: 2.37276e-08, Loss_f: 3.61456e-07
Iter: 15700, Loss: 1.00112e-06, Loss_0: 1.69431e-08, Loss_1: 2.16598e-07, Loss_b: 3.18783e-07, Loss_f: 4.48799e-07
Iter: 15800, Loss: 5.55066e-07, Loss_0: 1.69320e-08, Loss_1: 1.67638e-07, Loss_b: 3.87696e-09, Loss_f: 3.66619e-07
Iter: 15900, Loss: 2.51946e-06, Loss_0: 1.12474e-07, Loss_1: 4.75953e-07, Loss_b: 1.47100e-06, Loss_f: 4.60040e-07
Iter: 16000, Loss: 5.26827e-07, Loss_0: 1.89850e-08, Loss_1: 1.65834e-07, Loss_b: 3.56915e-09, Loss_f: 3.38438e-07
Iter: 16100, Loss: 2.05942e-06, Loss_0: 9.74284e-07, Loss_1: 3.34686e-07, Loss_b: 1.81884e-07, Loss_f: 5.68567e-07
Iter: 16200, Loss: 5.29582e-07, Loss_0: 1.71262e-08, Loss_1: 1.64159e-07, Loss_b: 3.90040e-09, Loss_f: 3.44396e-07
Iter: 16300, Loss: 9.12463e-07, Loss_0: 1.67502e-08, Loss_1: 2.47742e-07, Loss_b: 4.84354e-09, Loss_f: 6.43128e-07
Iter: 16400, Loss: 2.73969e-05, Loss_0: 1.10515e-06, Loss_1: 3.23806e-06, Loss_b: 2.12716e-05, Loss_f: 1.78207e-06
Iter: 16500, Loss: 1.88410e-04, Loss_0: 7.36635e-05, Loss_1: 1.70732e-05, Loss_b: 8.91499e-05, Loss_f: 8.52379e-06
Iter: 16600, Loss: 5.21096e-07, Loss_0: 2.14386e-08, Loss_1: 1.61596e-07, Loss_b: 1.16514e-08, Loss_f: 3.26410e-07
Iter: 16700, Loss: 2.30200e-06, Loss_0: 6.58749e-07, Loss_1: 3.52746e-07, Loss_b: 5.48132e-08, Loss_f: 1.23569e-06
Iter: 16800, Loss: 5.09641e-07, Loss_0: 1.81298e-08, Loss_1: 1.58032e-07, Loss_b: 6.27511e-09, Loss_f: 3.27204e-07
Iter: 16900, Loss: 1.02342e-06, Loss_0: 2.62767e-08, Loss_1: 2.15871e-07, Loss_b: 3.15487e-07, Loss_f: 4.65785e-07
Iter: 17000, Loss: 2.44313e-06, Loss_0: 1.20942e-06, Loss_1: 2.62416e-07, Loss_b: 4.93079e-07, Loss_f: 4.78207e-07
Iter: 17100, Loss: 1.25156e-06, Loss_0: 7.70601e-08, Loss_1: 2.44009e-07, Loss_b: 4.57854e-07, Loss_f: 4.72636e-07
