Start Training:
Iter: 6700, Loss: 7.04768e-05, Loss_0: 3.02320e-05, Loss_1: 5.42610e-06, Loss_b: 2.50811e-05, Loss_f: 9.73760e-06
Iter: 6800, Loss: 3.31016e-05, Loss_0: 2.49519e-05, Loss_1: 1.65581e-06, Loss_b: 1.03277e-06, Loss_f: 5.46105e-06
Iter: 6900, Loss: 3.27390e-05, Loss_0: 2.49274e-05, Loss_1: 1.59975e-06, Loss_b: 9.24662e-07, Loss_f: 5.28718e-06
Iter: 7000, Loss: 3.98026e-05, Loss_0: 2.83530e-05, Loss_1: 1.84977e-06, Loss_b: 9.84602e-07, Loss_f: 8.61518e-06
Iter: 7100, Loss: 4.70748e-05, Loss_0: 2.73450e-05, Loss_1: 2.56588e-06, Loss_b: 1.07752e-05, Loss_f: 6.38864e-06
Iter: 7200, Loss: 3.24154e-05, Loss_0: 2.49784e-05, Loss_1: 1.48775e-06, Loss_b: 9.39060e-07, Loss_f: 5.01018e-06
Iter: 7300, Loss: 3.40949e-05, Loss_0: 2.53359e-05, Loss_1: 2.06182e-06, Loss_b: 1.21810e-06, Loss_f: 5.47907e-06
Iter: 7400, Loss: 3.22749e-05, Loss_0: 2.49256e-05, Loss_1: 1.44912e-06, Loss_b: 9.41077e-07, Loss_f: 4.95910e-06
Iter: 7500, Loss: 4.62722e-05, Loss_0: 3.59858e-05, Loss_1: 1.83894e-06, Loss_b: 8.92972e-07, Loss_f: 7.55451e-06
Iter: 7600, Loss: 4.40483e-05, Loss_0: 2.79305e-05, Loss_1: 2.82647e-06, Loss_b: 6.69788e-06, Loss_f: 6.59346e-06
Iter: 7700, Loss: 3.20347e-05, Loss_0: 2.49614e-05, Loss_1: 1.34769e-06, Loss_b: 9.66637e-07, Loss_f: 4.75895e-06
Iter: 7800, Loss: 3.18854e-05, Loss_0: 2.49315e-05, Loss_1: 1.33315e-06, Loss_b: 9.61034e-07, Loss_f: 4.65972e-06
Iter: 7900, Loss: 3.36625e-05, Loss_0: 2.49697e-05, Loss_1: 1.49430e-06, Loss_b: 2.06776e-06, Loss_f: 5.13075e-06
Iter: 8000, Loss: 3.50989e-05, Loss_0: 2.70360e-05, Loss_1: 1.36473e-06, Loss_b: 1.01237e-06, Loss_f: 5.68577e-06
Iter: 8100, Loss: 3.17176e-05, Loss_0: 2.50071e-05, Loss_1: 1.27180e-06, Loss_b: 9.33719e-07, Loss_f: 4.50494e-06
Iter: 8200, Loss: 3.18375e-05, Loss_0: 2.49629e-05, Loss_1: 1.32654e-06, Loss_b: 8.96457e-07, Loss_f: 4.65164e-06
Iter: 8300, Loss: 4.10893e-05, Loss_0: 3.03419e-05, Loss_1: 1.36381e-06, Loss_b: 2.94114e-06, Loss_f: 6.44245e-06
Iter: 8400, Loss: 8.48499e-05, Loss_0: 2.97768e-05, Loss_1: 7.83795e-06, Loss_b: 3.69177e-05, Loss_f: 1.03175e-05
Iter: 8500, Loss: 3.13943e-05, Loss_0: 2.49321e-05, Loss_1: 1.18942e-06, Loss_b: 9.36037e-07, Loss_f: 4.33678e-06
Iter: 8600, Loss: 3.75922e-05, Loss_0: 2.60539e-05, Loss_1: 1.28194e-06, Loss_b: 5.46546e-06, Loss_f: 4.79083e-06
Iter: 8700, Loss: 3.13220e-05, Loss_0: 2.49709e-05, Loss_1: 1.10249e-06, Loss_b: 1.01144e-06, Loss_f: 4.23724e-06
Iter: 8800, Loss: 3.52993e-05, Loss_0: 2.64020e-05, Loss_1: 1.79787e-06, Loss_b: 1.84747e-06, Loss_f: 5.25200e-06
Iter: 8900, Loss: 3.11805e-05, Loss_0: 2.50009e-05, Loss_1: 1.07178e-06, Loss_b: 9.44701e-07, Loss_f: 4.16313e-06
Iter: 9000, Loss: 7.01407e-05, Loss_0: 4.13375e-05, Loss_1: 3.94574e-06, Loss_b: 1.35051e-05, Loss_f: 1.13524e-05
Iter: 9100, Loss: 3.26035e-05, Loss_0: 2.57709e-05, Loss_1: 9.54926e-07, Loss_b: 1.28626e-06, Loss_f: 4.59143e-06
Iter: 9200, Loss: 3.31498e-05, Loss_0: 2.53164e-05, Loss_1: 1.41230e-06, Loss_b: 2.14521e-06, Loss_f: 4.27589e-06
Iter: 9300, Loss: 3.28496e-05, Loss_0: 2.63234e-05, Loss_1: 9.90064e-07, Loss_b: 9.35044e-07, Loss_f: 4.60105e-06
Iter: 9400, Loss: 3.08651e-05, Loss_0: 2.50018e-05, Loss_1: 1.00085e-06, Loss_b: 9.32319e-07, Loss_f: 3.93018e-06
Iter: 9500, Loss: 3.38064e-04, Loss_0: 4.94107e-05, Loss_1: 2.46521e-05, Loss_b: 2.34716e-04, Loss_f: 2.92850e-05
Iter: 9600, Loss: 3.13274e-05, Loss_0: 2.53704e-05, Loss_1: 9.01119e-07, Loss_b: 1.10689e-06, Loss_f: 3.94903e-06
Iter: 9700, Loss: 5.08863e-05, Loss_0: 3.28626e-05, Loss_1: 1.65214e-06, Loss_b: 1.09863e-05, Loss_f: 5.38529e-06
Iter: 9800, Loss: 3.08707e-05, Loss_0: 2.51588e-05, Loss_1: 9.10398e-07, Loss_b: 1.04061e-06, Loss_f: 3.76088e-06
Iter: 9900, Loss: 3.06297e-05, Loss_0: 2.50284e-05, Loss_1: 8.91178e-07, Loss_b: 1.00870e-06, Loss_f: 3.70134e-06
Iter: 10000, Loss: 1.11820e-04, Loss_0: 3.19759e-05, Loss_1: 6.41751e-06, Loss_b: 6.08264e-05, Loss_f: 1.26000e-05
Iter: 10100, Loss: 3.05588e-05, Loss_0: 2.49281e-05, Loss_1: 8.51480e-07, Loss_b: 9.92553e-07, Loss_f: 3.78670e-06
Iter: 10200, Loss: 3.18784e-05, Loss_0: 2.51474e-05, Loss_1: 1.01539e-06, Loss_b: 1.47723e-06, Loss_f: 4.23836e-06
Iter: 10300, Loss: 1.16128e-04, Loss_0: 3.84520e-05, Loss_1: 7.07204e-06, Loss_b: 5.86965e-05, Loss_f: 1.19075e-05
Iter: 10400, Loss: 3.70709e-05, Loss_0: 2.81659e-05, Loss_1: 7.52790e-07, Loss_b: 2.02079e-06, Loss_f: 6.13140e-06
Iter: 10500, Loss: 1.31730e-04, Loss_0: 3.49747e-05, Loss_1: 9.15213e-06, Loss_b: 7.55835e-05, Loss_f: 1.20202e-05
Iter: 10600, Loss: 3.10963e-05, Loss_0: 2.50263e-05, Loss_1: 9.61892e-07, Loss_b: 1.29617e-06, Loss_f: 3.81187e-06
Iter: 10700, Loss: 7.84988e-05, Loss_0: 3.13503e-05, Loss_1: 5.29066e-06, Loss_b: 3.28972e-05, Loss_f: 8.96066e-06
Iter: 10800, Loss: 3.25293e-05, Loss_0: 2.49686e-05, Loss_1: 7.70626e-07, Loss_b: 2.84662e-06, Loss_f: 3.94351e-06
Iter: 10900, Loss: 1.35852e-04, Loss_0: 4.77461e-05, Loss_1: 1.09674e-05, Loss_b: 6.22031e-05, Loss_f: 1.49358e-05
Iter: 11000, Loss: 3.00335e-05, Loss_0: 2.49050e-05, Loss_1: 7.45310e-07, Loss_b: 9.88593e-07, Loss_f: 3.39463e-06
Iter: 11100, Loss: 1.29643e-04, Loss_0: 6.07782e-05, Loss_1: 7.91318e-06, Loss_b: 4.37425e-05, Loss_f: 1.72094e-05
Iter: 11200, Loss: 2.99717e-05, Loss_0: 2.49113e-05, Loss_1: 7.18065e-07, Loss_b: 9.90205e-07, Loss_f: 3.35220e-06
