Start Training:
Iter: 5900, Loss: 7.22199e-03, Loss_0: 5.05105e-03, Loss_1: 1.37834e-03, Loss_b: 6.79134e-04, Loss_f: 1.13473e-04
Iter: 6000, Loss: 6.27196e-03, Loss_0: 4.94856e-03, Loss_1: 1.20879e-03, Loss_b: 6.76405e-07, Loss_f: 1.13930e-04
Iter: 6100, Loss: 6.25488e-03, Loss_0: 4.93711e-03, Loss_1: 1.20243e-03, Loss_b: 6.16882e-07, Loss_f: 1.14713e-04
Iter: 6200, Loss: 6.23864e-03, Loss_0: 4.92695e-03, Loss_1: 1.19673e-03, Loss_b: 5.99755e-07, Loss_f: 1.14363e-04
Iter: 6300, Loss: 6.26352e-03, Loss_0: 4.92192e-03, Loss_1: 1.21466e-03, Loss_b: 2.37932e-05, Loss_f: 1.03143e-04
Iter: 6400, Loss: 6.21221e-03, Loss_0: 4.91124e-03, Loss_1: 1.18958e-03, Loss_b: 6.57924e-07, Loss_f: 1.10728e-04
Iter: 6500, Loss: 6.19805e-03, Loss_0: 4.90435e-03, Loss_1: 1.18270e-03, Loss_b: 6.21599e-07, Loss_f: 1.10381e-04
Iter: 6600, Loss: 6.18465e-03, Loss_0: 4.89872e-03, Loss_1: 1.17596e-03, Loss_b: 6.13247e-07, Loss_f: 1.09351e-04
Iter: 6700, Loss: 6.18416e-03, Loss_0: 4.90072e-03, Loss_1: 1.17635e-03, Loss_b: 2.35439e-06, Loss_f: 1.04737e-04
Iter: 6800, Loss: 6.16272e-03, Loss_0: 4.89036e-03, Loss_1: 1.16632e-03, Loss_b: 7.14370e-07, Loss_f: 1.05324e-04
Iter: 6900, Loss: 6.15021e-03, Loss_0: 4.88637e-03, Loss_1: 1.15850e-03, Loss_b: 6.61266e-07, Loss_f: 1.04677e-04
Iter: 7000, Loss: 6.15911e-03, Loss_0: 4.88557e-03, Loss_1: 1.17671e-03, Loss_b: 4.10599e-06, Loss_f: 9.27179e-05
Iter: 7100, Loss: 6.12903e-03, Loss_0: 4.87989e-03, Loss_1: 1.14835e-03, Loss_b: 7.31229e-07, Loss_f: 1.00054e-04
Iter: 7200, Loss: 6.11627e-03, Loss_0: 4.87710e-03, Loss_1: 1.13906e-03, Loss_b: 6.68385e-07, Loss_f: 9.94462e-05
Iter: 7300, Loss: 6.10380e-03, Loss_0: 4.87480e-03, Loss_1: 1.13022e-03, Loss_b: 6.38398e-07, Loss_f: 9.81447e-05
Iter: 7400, Loss: 7.14862e-03, Loss_0: 4.91041e-03, Loss_1: 1.30320e-03, Loss_b: 8.25210e-04, Loss_f: 1.09796e-04
Iter: 7500, Loss: 6.08156e-03, Loss_0: 4.87045e-03, Loss_1: 1.11713e-03, Loss_b: 7.10921e-07, Loss_f: 9.32649e-05
Iter: 7600, Loss: 6.06751e-03, Loss_0: 4.86774e-03, Loss_1: 1.10684e-03, Loss_b: 6.33991e-07, Loss_f: 9.23033e-05
Iter: 7700, Loss: 6.05244e-03, Loss_0: 4.86405e-03, Loss_1: 1.09676e-03, Loss_b: 5.70857e-07, Loss_f: 9.10653e-05
Iter: 7800, Loss: 6.04088e-03, Loss_0: 4.86090e-03, Loss_1: 1.09241e-03, Loss_b: 8.78922e-07, Loss_f: 8.66927e-05
Iter: 7900, Loss: 6.02352e-03, Loss_0: 4.85612e-03, Loss_1: 1.07969e-03, Loss_b: 5.75093e-07, Loss_f: 8.71311e-05
Iter: 8000, Loss: 7.45791e-03, Loss_0: 4.94232e-03, Loss_1: 1.25252e-03, Loss_b: 1.14592e-03, Loss_f: 1.17147e-04
Iter: 8100, Loss: 5.99360e-03, Loss_0: 4.84714e-03, Loss_1: 1.06357e-03, Loss_b: 7.26209e-07, Loss_f: 8.21658e-05
Iter: 8200, Loss: 5.98504e-03, Loss_0: 4.85053e-03, Loss_1: 1.05660e-03, Loss_b: 1.00680e-06, Loss_f: 7.69012e-05
Iter: 8300, Loss: 5.95501e-03, Loss_0: 4.83733e-03, Loss_1: 1.03827e-03, Loss_b: 5.76059e-07, Loss_f: 7.88312e-05
Iter: 8400, Loss: 5.95387e-03, Loss_0: 4.83547e-03, Loss_1: 1.03489e-03, Loss_b: 1.09127e-05, Loss_f: 7.25935e-05
Iter: 8500, Loss: 5.91529e-03, Loss_0: 4.82560e-03, Loss_1: 1.01497e-03, Loss_b: 6.39178e-07, Loss_f: 7.40809e-05
Iter: 8600, Loss: 5.89860e-03, Loss_0: 4.81907e-03, Loss_1: 1.00889e-03, Loss_b: 1.12087e-06, Loss_f: 6.95120e-05
Iter: 8700, Loss: 5.88585e-03, Loss_0: 4.81283e-03, Loss_1: 9.96914e-04, Loss_b: 9.26208e-06, Loss_f: 6.68428e-05
Iter: 8800, Loss: 5.84705e-03, Loss_0: 4.80239e-03, Loss_1: 9.75889e-04, Loss_b: 8.90460e-07, Loss_f: 6.78904e-05
Iter: 8900, Loss: 5.83160e-03, Loss_0: 4.79978e-03, Loss_1: 9.69087e-04, Loss_b: 9.33875e-07, Loss_f: 6.17956e-05
Iter: 9000, Loss: 5.80468e-03, Loss_0: 4.78931e-03, Loss_1: 9.49975e-04, Loss_b: 1.06594e-06, Loss_f: 6.43216e-05
