Start Training:
Iter: 7400, Loss: 2.66403e-04, Loss_0: 5.22575e-05, Loss_b: 6.06607e-08, Loss_f: 1.39141e-05, Loss_s: 2.00171e-04
Iter: 7500, Loss: 2.68848e-04, Loss_0: 5.14510e-05, Loss_b: 1.34356e-06, Loss_f: 1.40753e-05, Loss_s: 2.01978e-04
Iter: 7600, Loss: 2.64790e-04, Loss_0: 5.16138e-05, Loss_b: 4.44276e-08, Loss_f: 1.35883e-05, Loss_s: 1.99544e-04
Iter: 7700, Loss: 2.63723e-04, Loss_0: 5.09621e-05, Loss_b: 4.22707e-08, Loss_f: 1.37452e-05, Loss_s: 1.98974e-04
Iter: 7800, Loss: 2.62674e-04, Loss_0: 5.04271e-05, Loss_b: 3.77024e-08, Loss_f: 1.37937e-05, Loss_s: 1.98415e-04
Iter: 7900, Loss: 2.61896e-04, Loss_0: 4.94765e-05, Loss_b: 1.60150e-07, Loss_f: 1.37098e-05, Loss_s: 1.98549e-04
Iter: 8000, Loss: 2.60623e-04, Loss_0: 4.94870e-05, Loss_b: 2.66264e-08, Loss_f: 1.37199e-05, Loss_s: 1.97389e-04
Iter: 8100, Loss: 2.62375e-04, Loss_0: 5.14244e-05, Loss_b: 1.69129e-06, Loss_f: 1.37398e-05, Loss_s: 1.95520e-04
Iter: 8200, Loss: 2.58795e-04, Loss_0: 4.87348e-05, Loss_b: 1.90048e-08, Loss_f: 1.35835e-05, Loss_s: 1.96458e-04
Iter: 8300, Loss: 2.57634e-04, Loss_0: 4.82295e-05, Loss_b: 1.62052e-08, Loss_f: 1.35804e-05, Loss_s: 1.95808e-04
Iter: 8400, Loss: 2.57593e-04, Loss_0: 4.75048e-05, Loss_b: 4.09751e-07, Loss_f: 1.33920e-05, Loss_s: 1.96286e-04
Iter: 8500, Loss: 2.55529e-04, Loss_0: 4.74098e-05, Loss_b: 1.18533e-08, Loss_f: 1.32980e-05, Loss_s: 1.94809e-04
Iter: 8600, Loss: 4.10608e-04, Loss_0: 6.81987e-05, Loss_b: 4.75538e-05, Loss_f: 4.76027e-05, Loss_s: 2.47253e-04
Iter: 8700, Loss: 2.52972e-04, Loss_0: 4.60974e-05, Loss_b: 7.15968e-08, Loss_f: 1.30060e-05, Loss_s: 1.93797e-04
