Start Training:
Iter: 0, Loss: 3.94998e-01, Loss0: 2.35197e-01, Loss_b: 4.64047e-02, Loss_f: 1.13397e-01, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 4.25974e-04, Loss0: 2.55667e-04, Loss_b: 2.69924e-06, Loss_f: 1.67608e-04, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 3.78725e-04, Loss0: 2.11418e-04, Loss_b: 3.02845e-06, Loss_f: 1.64279e-04, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 3.45500e-04, Loss0: 1.93570e-04, Loss_b: 1.76217e-06, Loss_f: 1.50168e-04, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 3.33733e-04, Loss0: 1.69643e-04, Loss_b: 5.13520e-06, Loss_f: 1.58954e-04, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 3.57655e-04, Loss0: 1.62741e-04, Loss_b: 1.53272e-05, Loss_f: 1.79586e-04, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 3.70389e-04, Loss0: 1.51027e-04, Loss_b: 2.48243e-05, Loss_f: 1.94538e-04, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 2.59204e-04, Loss0: 1.26866e-04, Loss_b: 1.41994e-06, Loss_f: 1.30918e-04, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 3.31346e-04, Loss0: 1.37284e-04, Loss_b: 4.86695e-05, Loss_f: 1.45393e-04, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 2.53533e-04, Loss0: 1.14831e-04, Loss_b: 1.65781e-05, Loss_f: 1.22124e-04, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 2.35129e-04, Loss0: 9.46943e-05, Loss_b: 7.48156e-06, Loss_f: 1.32953e-04, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 2.31702e-04, Loss0: 8.03304e-05, Loss_b: 1.27661e-05, Loss_f: 1.38606e-04, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 7.35260e-04, Loss0: 8.73875e-05, Loss_b: 1.80903e-04, Loss_f: 4.66969e-04, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 1.78410e-04, Loss0: 7.33829e-05, Loss_b: 2.97503e-06, Loss_f: 1.02052e-04, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 7.15331e-04, Loss0: 8.58160e-05, Loss_b: 6.00595e-05, Loss_f: 5.69456e-04, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 1.62624e-04, Loss0: 4.73803e-05, Loss_b: 3.44615e-06, Loss_f: 1.11797e-04, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 1.21586e-04, Loss0: 4.93494e-05, Loss_b: 5.89995e-06, Loss_f: 6.63369e-05, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 6.47503e-04, Loss0: 8.76729e-05, Loss_b: 2.55944e-04, Loss_f: 3.03886e-04, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 1.00545e-04, Loss0: 3.92469e-05, Loss_b: 4.77562e-06, Loss_f: 5.65221e-05, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 7.99294e-04, Loss0: 3.72962e-05, Loss_b: 1.56205e-04, Loss_f: 6.05793e-04, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 2.56564e-04, Loss0: 2.22062e-05, Loss_b: 6.52033e-06, Loss_f: 2.27838e-04, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 1.16961e-04, Loss0: 2.58270e-05, Loss_b: 1.75985e-05, Loss_f: 7.35360e-05, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 2.71484e-04, Loss0: 4.91941e-05, Loss_b: 8.89205e-05, Loss_f: 1.33369e-04, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 9.48484e-05, Loss0: 2.51745e-05, Loss_b: 9.05573e-06, Loss_f: 6.06182e-05, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 5.31305e-04, Loss0: 7.47674e-05, Loss_b: 1.67651e-04, Loss_f: 2.88887e-04, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 7.42594e-05, Loss0: 1.81373e-05, Loss_b: 8.63840e-06, Loss_f: 4.74837e-05, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 2.23790e-04, Loss0: 4.60312e-05, Loss_b: 2.75811e-05, Loss_f: 1.50178e-04, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 6.29110e-05, Loss0: 1.79677e-05, Loss_b: 7.39496e-06, Loss_f: 3.75484e-05, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 3.50801e-04, Loss0: 9.72660e-06, Loss_b: 3.14236e-05, Loss_f: 3.09651e-04, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 1.15637e-04, Loss0: 3.16394e-05, Loss_b: 4.49582e-05, Loss_f: 3.90396e-05, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 5.21911e-05, Loss0: 1.59813e-05, Loss_b: 3.03146e-07, Loss_f: 3.59067e-05, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 8.66461e-05, Loss0: 1.59849e-05, Loss_b: 5.27619e-06, Loss_f: 6.53851e-05, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 4.87135e-05, Loss0: 1.31849e-05, Loss_b: 3.74119e-06, Loss_f: 3.17874e-05, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 1.57004e-03, Loss0: 7.87182e-05, Loss_b: 1.46376e-04, Loss_f: 1.34495e-03, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 2.93647e-04, Loss0: 6.20077e-05, Loss_b: 1.50403e-04, Loss_f: 8.12364e-05, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 7.96519e-05, Loss0: 2.53254e-05, Loss_b: 3.65705e-06, Loss_f: 5.06694e-05, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 3.92248e-05, Loss0: 1.22868e-05, Loss_b: 7.28848e-08, Loss_f: 2.68651e-05, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 4.15395e-04, Loss0: 1.34180e-05, Loss_b: 1.12238e-04, Loss_f: 2.89739e-04, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 1.27548e-04, Loss0: 3.34950e-05, Loss_b: 5.06705e-07, Loss_f: 9.35465e-05, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 7.32889e-05, Loss0: 1.59531e-05, Loss_b: 1.75230e-05, Loss_f: 3.98129e-05, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 5.39625e-05, Loss0: 1.60098e-05, Loss_b: 1.14656e-06, Loss_f: 3.68061e-05, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 3.49062e-05, Loss0: 1.08162e-05, Loss_b: 8.76479e-08, Loss_f: 2.40024e-05, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 3.68659e-05, Loss0: 1.00790e-05, Loss_b: 3.51095e-07, Loss_f: 2.64358e-05, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 8.69409e-05, Loss0: 1.54629e-05, Loss_b: 4.90187e-06, Loss_f: 6.65761e-05, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 4.07941e-04, Loss0: 1.15407e-05, Loss_b: 1.03720e-04, Loss_f: 2.92680e-04, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 5.06065e-05, Loss0: 1.61014e-05, Loss_b: 4.48197e-06, Loss_f: 3.00232e-05, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 6.15695e-04, Loss0: 3.86871e-05, Loss_b: 3.40251e-05, Loss_f: 5.42983e-04, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 4.24136e-05, Loss0: 1.60942e-05, Loss_b: 9.54831e-07, Loss_f: 2.53646e-05, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 3.71654e-05, Loss0: 1.01026e-05, Loss_b: 6.65572e-08, Loss_f: 2.69962e-05, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 9.04656e-04, Loss0: 1.27654e-05, Loss_b: 1.19889e-04, Loss_f: 7.72002e-04, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 9.18557e-05, Loss0: 2.48215e-05, Loss_b: 2.59291e-05, Loss_f: 4.11050e-05, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 3.89223e-05, Loss0: 8.45375e-06, Loss_b: 2.21599e-06, Loss_f: 2.82525e-05, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 1.05219e-03, Loss0: 2.19939e-05, Loss_b: 2.30760e-04, Loss_f: 7.99442e-04, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 1.15480e-04, Loss0: 1.86146e-05, Loss_b: 3.85184e-05, Loss_f: 5.83466e-05, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 9.12885e-05, Loss0: 1.73740e-05, Loss_b: 3.35571e-05, Loss_f: 4.03573e-05, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 4.79058e-05, Loss0: 1.36363e-05, Loss_b: 3.79890e-07, Loss_f: 3.38896e-05, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 1.69019e-03, Loss0: 7.53597e-05, Loss_b: 1.57117e-04, Loss_f: 1.45772e-03, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 3.99109e-04, Loss0: 3.87644e-05, Loss_b: 2.42490e-04, Loss_f: 1.17855e-04, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 4.37343e-05, Loss0: 1.47474e-05, Loss_b: 3.43733e-06, Loss_f: 2.55495e-05, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 4.40027e-05, Loss0: 1.17659e-05, Loss_b: 1.15595e-06, Loss_f: 3.10809e-05, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 6.63247e-04, Loss0: 8.35601e-06, Loss_b: 6.45218e-05, Loss_f: 5.90369e-04, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 1.30425e-04, Loss0: 3.27696e-05, Loss_b: 4.27063e-05, Loss_f: 5.49489e-05, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 3.40448e-04, Loss0: 4.94002e-05, Loss_b: 1.41404e-04, Loss_f: 1.49644e-04, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 2.03749e-04, Loss0: 4.52255e-05, Loss_b: 9.48043e-05, Loss_f: 6.37193e-05, Loss_prev: 0.00000e+00
Iter: 9600, Loss: 7.19556e-05, Loss0: 2.08156e-05, Loss_b: 1.96137e-05, Loss_f: 3.15262e-05, Loss_prev: 0.00000e+00
Iter: 9700, Loss: 3.46122e-05, Loss0: 6.18349e-06, Loss_b: 1.11639e-06, Loss_f: 2.73123e-05, Loss_prev: 0.00000e+00
Iter: 9800, Loss: 9.34557e-04, Loss0: 3.77302e-05, Loss_b: 3.51901e-04, Loss_f: 5.44925e-04, Loss_prev: 0.00000e+00
Iter: 9900, Loss: 1.20824e-04, Loss0: 2.03085e-05, Loss_b: 7.71065e-08, Loss_f: 1.00439e-04, Loss_prev: 0.00000e+00
Iter: 10000, Loss: 8.50025e-05, Loss0: 2.10663e-05, Loss_b: 3.00433e-07, Loss_f: 6.36357e-05, Loss_prev: 0.00000e+00
Iter: 10100, Loss: 2.12526e-05, Loss0: 4.25242e-06, Loss_b: 1.07312e-07, Loss_f: 1.68929e-05, Loss_prev: 0.00000e+00
Iter: 10200, Loss: 1.72401e-05, Loss0: 4.47071e-06, Loss_b: 4.68172e-08, Loss_f: 1.27225e-05, Loss_prev: 0.00000e+00
Iter: 10300, Loss: 1.52450e-05, Loss0: 3.62794e-06, Loss_b: 1.03632e-07, Loss_f: 1.15134e-05, Loss_prev: 0.00000e+00
Iter: 10400, Loss: 1.34118e-05, Loss0: 2.68789e-06, Loss_b: 6.73391e-08, Loss_f: 1.06565e-05, Loss_prev: 0.00000e+00
Iter: 10500, Loss: 1.20844e-05, Loss0: 2.32380e-06, Loss_b: 6.74987e-08, Loss_f: 9.69312e-06, Loss_prev: 0.00000e+00
Iter: 10600, Loss: 1.12382e-05, Loss0: 2.05388e-06, Loss_b: 9.69190e-08, Loss_f: 9.08739e-06, Loss_prev: 0.00000e+00
Iter: 10700, Loss: 1.07879e-05, Loss0: 2.01824e-06, Loss_b: 9.36995e-08, Loss_f: 8.67601e-06, Loss_prev: 0.00000e+00
Iter: 10800, Loss: 1.02160e-05, Loss0: 1.88751e-06, Loss_b: 6.22476e-08, Loss_f: 8.26628e-06, Loss_prev: 0.00000e+00
Iter: 10900, Loss: 9.59863e-06, Loss0: 1.87850e-06, Loss_b: 5.07316e-08, Loss_f: 7.66940e-06, Loss_prev: 0.00000e+00
Iter: 11000, Loss: 9.11298e-06, Loss0: 1.73389e-06, Loss_b: 8.09255e-08, Loss_f: 7.29816e-06, Loss_prev: 0.00000e+00
Iter: 11100, Loss: 8.53757e-06, Loss0: 1.52814e-06, Loss_b: 2.65048e-08, Loss_f: 6.98293e-06, Loss_prev: 0.00000e+00
Iter: 11200, Loss: 8.14666e-06, Loss0: 1.70587e-06, Loss_b: 2.33476e-08, Loss_f: 6.41744e-06, Loss_prev: 0.00000e+00
Iter: 11300, Loss: 7.66971e-06, Loss0: 1.44097e-06, Loss_b: 5.41551e-08, Loss_f: 6.17459e-06, Loss_prev: 0.00000e+00
Iter: 11400, Loss: 7.11439e-06, Loss0: 1.12904e-06, Loss_b: 3.29200e-08, Loss_f: 5.95244e-06, Loss_prev: 0.00000e+00
Iter: 11500, Loss: 6.50214e-06, Loss0: 8.19199e-07, Loss_b: 1.80876e-08, Loss_f: 5.66486e-06, Loss_prev: 0.00000e+00
Iter: 11600, Loss: 6.10969e-06, Loss0: 7.13967e-07, Loss_b: 1.77157e-08, Loss_f: 5.37800e-06, Loss_prev: 0.00000e+00
Iter: 11700, Loss: 5.77922e-06, Loss0: 6.52566e-07, Loss_b: 2.70812e-08, Loss_f: 5.09957e-06, Loss_prev: 0.00000e+00
Iter: 11800, Loss: 5.27918e-06, Loss0: 6.32030e-07, Loss_b: 1.59205e-08, Loss_f: 4.63123e-06, Loss_prev: 0.00000e+00
Iter: 11900, Loss: 5.02030e-06, Loss0: 5.96441e-07, Loss_b: 1.07219e-08, Loss_f: 4.41314e-06, Loss_prev: 0.00000e+00
Iter: 12000, Loss: 4.62566e-06, Loss0: 6.53698e-07, Loss_b: 1.72440e-08, Loss_f: 3.95472e-06, Loss_prev: 0.00000e+00
Iter: 12100, Loss: 4.23198e-06, Loss0: 6.06172e-07, Loss_b: 2.99029e-08, Loss_f: 3.59590e-06, Loss_prev: 0.00000e+00
Iter: 12200, Loss: 3.81934e-06, Loss0: 4.85901e-07, Loss_b: 3.59332e-08, Loss_f: 3.29751e-06, Loss_prev: 0.00000e+00
Iter: 12300, Loss: 3.55035e-06, Loss0: 3.18011e-07, Loss_b: 4.88214e-08, Loss_f: 3.18352e-06, Loss_prev: 0.00000e+00
Iter: 12400, Loss: 3.19534e-06, Loss0: 2.08044e-07, Loss_b: 5.43387e-08, Loss_f: 2.93295e-06, Loss_prev: 0.00000e+00
Iter: 12500, Loss: 2.95937e-06, Loss0: 2.56097e-07, Loss_b: 5.16173e-08, Loss_f: 2.65165e-06, Loss_prev: 0.00000e+00
Iter: 12600, Loss: 2.80604e-06, Loss0: 2.57945e-07, Loss_b: 4.90479e-08, Loss_f: 2.49905e-06, Loss_prev: 0.00000e+00
Iter: 12700, Loss: 2.65132e-06, Loss0: 1.83315e-07, Loss_b: 5.24935e-08, Loss_f: 2.41551e-06, Loss_prev: 0.00000e+00
Iter: 12800, Loss: 2.48229e-06, Loss0: 1.78439e-07, Loss_b: 3.45420e-08, Loss_f: 2.26931e-06, Loss_prev: 0.00000e+00
Iter: 12900, Loss: 2.29711e-06, Loss0: 1.62136e-07, Loss_b: 1.82601e-08, Loss_f: 2.11672e-06, Loss_prev: 0.00000e+00
Iter: 13000, Loss: 2.11459e-06, Loss0: 1.51335e-07, Loss_b: 8.98781e-09, Loss_f: 1.95427e-06, Loss_prev: 0.00000e+00
Iter: 13100, Loss: 1.98338e-06, Loss0: 1.02940e-07, Loss_b: 4.13424e-09, Loss_f: 1.87630e-06, Loss_prev: 0.00000e+00
Iter: 13200, Loss: 1.86703e-06, Loss0: 7.86191e-08, Loss_b: 8.53814e-09, Loss_f: 1.77987e-06, Loss_prev: 0.00000e+00
Iter: 13300, Loss: 1.69129e-06, Loss0: 8.67584e-08, Loss_b: 5.99513e-09, Loss_f: 1.59853e-06, Loss_prev: 0.00000e+00
Iter: 13400, Loss: 1.51362e-06, Loss0: 8.13234e-08, Loss_b: 3.02333e-09, Loss_f: 1.42928e-06, Loss_prev: 0.00000e+00
Iter: 13500, Loss: 1.37493e-06, Loss0: 6.13734e-08, Loss_b: 2.75693e-09, Loss_f: 1.31080e-06, Loss_prev: 0.00000e+00
Iter: 13600, Loss: 1.27178e-06, Loss0: 7.99896e-08, Loss_b: 4.19287e-09, Loss_f: 1.18760e-06, Loss_prev: 0.00000e+00
Iter: 13700, Loss: 1.17341e-06, Loss0: 7.72768e-08, Loss_b: 5.92699e-09, Loss_f: 1.09021e-06, Loss_prev: 0.00000e+00
Iter: 13800, Loss: 1.11216e-06, Loss0: 6.51775e-08, Loss_b: 8.24002e-09, Loss_f: 1.03875e-06, Loss_prev: 0.00000e+00
Iter: 13900, Loss: 1.06241e-06, Loss0: 3.24095e-08, Loss_b: 7.57128e-09, Loss_f: 1.02242e-06, Loss_prev: 0.00000e+00
Iter: 14000, Loss: 1.01169e-06, Loss0: 2.97223e-08, Loss_b: 9.06561e-09, Loss_f: 9.72903e-07, Loss_prev: 0.00000e+00
Training time: 1430.6470
