Start Training:
Iter: 6300, Loss: 4.83789e-03, Loss0: 1.45273e-03, Loss_b: 2.75096e-03, Loss_f: 6.34198e-04, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 1.18382e-03, Loss0: 9.73366e-04, Loss_b: 1.52703e-06, Loss_f: 2.08930e-04, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 1.51447e-03, Loss0: 9.70153e-04, Loss_b: 2.37675e-04, Loss_f: 3.06643e-04, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 1.10999e-03, Loss0: 9.06343e-04, Loss_b: 2.10146e-06, Loss_f: 2.01549e-04, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 1.09280e-03, Loss0: 8.82260e-04, Loss_b: 1.40455e-05, Loss_f: 1.96489e-04, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 1.04996e-03, Loss0: 8.58781e-04, Loss_b: 2.63842e-06, Loss_f: 1.88538e-04, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 1.02080e-03, Loss0: 8.35586e-04, Loss_b: 1.88693e-06, Loss_f: 1.83331e-04, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 9.97019e-04, Loss0: 8.19273e-04, Loss_b: 2.38498e-06, Loss_f: 1.75362e-04, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 1.70497e-03, Loss0: 9.10480e-04, Loss_b: 5.48551e-04, Loss_f: 2.45935e-04, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 9.58852e-04, Loss0: 7.86099e-04, Loss_b: 9.50354e-06, Loss_f: 1.63249e-04, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 1.56778e-03, Loss0: 7.85954e-04, Loss_b: 7.88376e-06, Loss_f: 7.73942e-04, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 9.45533e-04, Loss0: 7.55759e-04, Loss_b: 2.70931e-05, Loss_f: 1.62680e-04, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 8.99553e-04, Loss0: 7.43646e-04, Loss_b: 1.26714e-06, Loss_f: 1.54640e-04, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 1.22953e-03, Loss0: 7.76645e-04, Loss_b: 2.36072e-04, Loss_f: 2.16814e-04, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 8.66742e-04, Loss0: 7.21999e-04, Loss_b: 1.16884e-06, Loss_f: 1.43574e-04, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 9.07241e-04, Loss0: 7.18217e-04, Loss_b: 6.53247e-06, Loss_f: 1.82492e-04, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 8.50534e-04, Loss0: 7.04575e-04, Loss_b: 9.15472e-06, Loss_f: 1.36804e-04, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 1.00934e-03, Loss0: 7.18635e-04, Loss_b: 1.25491e-04, Loss_f: 1.65215e-04, Loss_prev: 0.00000e+00
